----------------------------------------------------------------------
Schedule D - District/Port List (by name)[ProducedAPRIL25]
----------------------------------------------------------------------
Name                                                  | Code    | District/Port
NORFOLK-NEWPORT NEWS, VA                              | 1401    | Port
NORTHGATE, ND                                         | 3406    | Port
NORTON, VT                                            | 0211    | Port
NYACC, JAMAICA, NY                                    | 1071    | Port
OAKLAND, CA                                           | 2811    | Port
OAKLAND/PONTIAC AIRPORT                               | 3881    | Port
OGDENSBURG, NY                                        | 07      | District
OGDENSBURG, NY                                        | 0701    | Port
OKLAHOMA CITY, OK                                     | 5504    | Port
OLYMPIA, WA                                           | 3026    | Port
OMAHA, NE                                             | 3512    | Port
ONTARIO INTL AIRPORT, CA                              | 2721    | Port
OPHEIM, MT                                            | 3317    | Port
ORANGE, TX                                            | 2103    | Port
ORLANDO EXECUTIVE AIRPORT, FL                         | 1888    | Port
ORLANDO, FL                                           | 1808    | Port
ORLANDO-SANFORD AIRPORT, FL                           | 1809    | Port
OROVILLE, WA                                          | 3019    | Port
OSWEGO, NY                                            | 0904    | Port
OTAY MESA                                             | 2506    | Port
OWENSBORO-EVANSVILLE, KY                              | 4116    | Port
PANAMA CITY, FL                                       | 1818    | Port
PASCAGOULA, MS                                        | 1903    | Port
PEMBINA, ND                                           | 34      | District
PEMBINA, ND                                           | 3401    | Port
PENSACOLA, FL                                         | 1819    | Port
PEORIA, IL                                            | 3902    | Port
PERTH AMBOY, NJ                                       | 1004    | Port
PHILA. INTL. AIRPORT, PA                              | 1108    | Port
PHILADELPHIA, PA                                      | 11      | District
PHILADELPHIA, PA                                      | 1101    | Port
PHOENIX, AZ                                           | 2605    | Port
PIEGAN, MT                                            | 3316    | Port
PINECREEK, MN                                         | 3425    | Port
PITTSBURGH, PA                                        | 1104    | Port
PLYMOUTH, MA                                          | 0406    | Port
POINT ROBERTS, WA                                     | 3017    | Port
PONCE, PR                                             | 4908    | Port
PORT ANGELES, WA                                      | 3007    | Port
PORT ARTHUR, TX                                       | 21      | District
PORT ARTHUR, TX                                       | 2101    | Port
PORT CANAVERAL, FL                                    | 1816    | Port
