port_code,port_name,country,cty_code,region
24515,Labadee,Haiti,2450,Caribbean
24537,Jacmel,Haiti,2450,Caribbean
24553,La Fitteau; Lafiteau,Haiti,2450,Caribbean
24559,Miragoane,Haiti,2450,Caribbean
24571,Petit Goave,Haiti,2450,Caribbean
24579,Port au Prince,Haiti,2450,Caribbean
24585,Port de Paix,Haiti,2450,Caribbean
24588,Gonaives,Haiti,2450,Caribbean
24591,Saint Marc; St. Marc,Haiti,2450,Caribbean
24700,Andres,Dominican Republic,2470,Caribbean
24713,Barahona,Dominican Republic,2470,Caribbean
24720,Samana,Dominican Republic,2470,Caribbean
24721,Boca Chica,Dominican Republic,2470,Caribbean
24722,Caucedo,Dominican Republic,2470,Caribbean
24727,Cabo Rojo,Dominican Republic,2470,Caribbean
24731,Las Calderas; Bahia de Las Calderas; Caldera Bay,Dominican Republic,2470,Caribbean
24737,Ciudad Trujillo,Dominican Republic,2470,Caribbean
24738,Punta Torrecilla; Torrecilla,Dominican Republic,2470,Caribbean
24741,Jaina; Rio Jaina; Haina; Rio Haina,Dominican Republic,2470,Caribbean
24743,La Romana,Dominican Republic,2470,Caribbean
24745,Manzanillo; Manzanillo Bay,Dominican Republic,2470,Caribbean
24773,Puerto Plata,Dominican Republic,2470,Caribbean
24774,Luperon,Dominican Republic,2470,Caribbean
24791,San Pedro de Macoris,Dominican Republic,2470,Caribbean
24813,Virgin Gorda,British Virgin Islands,2482,Caribbean
24815,Port Purcell,British Virgin Islands,2482,Caribbean
24821,Anguilla,Anguilla,2481,Caribbean
24823,Sombrero Island,Anguilla,2481,Caribbean
24831,"Parham Harbour, Antigua",Antigua,2484,Caribbean
24835,"Basseterre, St. Kitts",St. Kitts & Nevis,2483,Caribbean
24837,"Charlestown, Nevis Is.",St. Kitts & Nevis,2483,Caribbean
24845,Plymouth,Montserrat,2485,Caribbean
24851,Rouseau,Dominca Island,2486,Caribbean
24852,Portsmouth,Dominca Island,2486,Caribbean
24853,Woodbridge Bay,Dominca Island,2486,Caribbean
24865,Castries,St. Lucia,2487,Caribbean
24866,Cul de Sac,St. Lucia,2487,Caribbean
24867,Vieux Fort,St. Lucia,2487,Caribbean
24871,Admiralty Bay,St. Vincent & the Grenadines,2488,Caribbean
24881,St. George; St. George's,Grenada,2489,Caribbean
24882,Grande Anse,Grenada,2489,Caribbean
27201,Bridgetown,Barbados,2720,Caribbean
27210,Oistins,Barbados,2720,Caribbean
27213,Speightstown,Barbados,2720,Caribbean
27400,Chaguaramas,Trinidad,2740,Caribbean
27410,Galeota Point,Trinidad,2740,Caribbean
27415,Pointe a Pierre,Trinidad,2740,Caribbean
27420,Point Fortin,Trinidad,2740,Caribbean
27425,Point Lisas,Trinidad,2740,Caribbean
27431,Port of Spain,Trinidad,2740,Caribbean
27435,Brighton,Trinidad,2740,Caribbean
27443,San Fernando,Trinidad,2740,Caribbean
27446,Tembladora,Trinidad,2740,Caribbean
27451,Scarborough,Trinidad,2740,Caribbean
27701,Oranjestad,Aruba,2779,Caribbean
27702,Sint Nicolaas Baai; San Nicolas Bay; St. Nicolaas,Aruba,2779,Caribbean
27703,Barcadera,Aruba,2779,Caribbean
27740,All Other Sint Maarten (Dutch side) Ports,Sint Maarten,2774,Caribbean
27742,Philipsburg,Sint Maarten,2774,Caribbean
27746,Sint Maarten,Sint Maarten,2774,Caribbean
27750,"All Other Bonaire,Sint Eustatius & Saba Ports","Bonaire, Sint Eustatius & Saba",2777,Caribbean
27752,Bonaire,"Bonaire, Sint Eustatius & Saba",2777,Caribbean
27754,Fort Baai,"Bonaire, Sint Eustatius & Saba",2777,Caribbean
27756,Sint Eustatius,"Bonaire, Sint Eustatius & Saba",2777,Caribbean
27760,All Other Saint Martin (French Side) Ports,"Bonaire, Sint Eustatius & Saba",2777,Caribbean
27762,Galisbay,"Bonaire, Sint Eustatius & Saba",2777,Caribbean
27770,All Other Curacao Ports,Curacao,2777,Caribbean
27772,Curacao; Bullen Bay; Bullenbai,Curacao,2777,Caribbean
27774,Caracas Baai; Caracas Bay,Curacao,2777,Caribbean
27776,Fuikbaai,Curacao,2777,Caribbean
27779,Sint Michielsbaai,Curacao,2777,Caribbean
28300,Saint Martin; St. Martin,Guadeloupe,2831,Caribbean
28313,Pointe a Pitre,Guadeloupe,2831,Caribbean
28315,Basse Terre,Guadeloupe,2831,Caribbean
28319,Gustavia,Guadeloupe,2831,Caribbean
28320,"Marigot, St. Martin",Guadeloupe,2831,Caribbean
28351,Fort De France,Martinique,2839,Caribbean
28399,Galion; Baie du Galion; Gallion Bay,Martinique,2839,Caribbean
30100,Puerto Zuniga,Colombia,3010,South America
30104,Barranquilla,Colombia,3010,South America
30107,Cartagena,Colombia,3010,South America
30110,Covenas,Colombia,3010,South America
30111,Tolu,Colombia,3010,South America
30121,Puerto Bolivar,Colombia,3010,South America
30130,Isla San Andres,Colombia,3010,South America
30131,Puerto Colombia,Colombia,3010,South America
30135,Puerto Drummond,Colombia,3010,South America
30140,Pozos Colorados,Colombia,3010,South America
30145,Turbo,Colombia,3010,South America
30151,Buenaventura,Colombia,3010,South America
30152,Tumaco,Colombia,3010,South America
30190,Leticia,Colombia,3010,South America
30198,All Columbia Amazon Region Ports,Colombia,3010,South America
30199,All Other Colombia West Coast Region Ports,Colombia,3010,South America
30700,Adicora,Venezuela,3070,South America
30704,Amuay Bay; Bahia de Amuay,Venezuela,3070,South America
30708,Bajo Grande,Venezuela,3070,South America
30721,Carupano,Venezuela,3070,South America
30725,Ciudad Bolivar,Venezuela,3070,South America
30735,El Chaure,Venezuela,3070,South America
30737,El Palito,Venezuela,3070,South America
30739,El Tablazo,Venezuela,3070,South America
30741,Guanta; Bahia Guanta,Venezuela,3070,South America
30742,Guaranao,Venezuela,3070,South America
30743,Jose; Puerto Jose,Venezuela,3070,South America
30745,Caracas,Venezuela,3070,South America
30753,La Salina,Venezuela,3070,South America
30755,Las Piedras,Venezuela,3070,South America
30758,Moron,Venezuela,3070,South America
30759,Maracaibo,Venezuela,3070,South America
30760,Matanzas,Venezuela,3070,South America
30761,Palua,Venezuela,3070,South America
30763,Puerto Miranda,Venezuela,3070,South America
30764,Puerto Cabello,Venezuela,3070,South America
30765,Coro,Venezuela,3070,South America
30766,Cumarebo,Venezuela,3070,South America
30767,Punta Cuchillo,Venezuela,3070,South America
