port_code,port_name,district_code,district_name
3072,"AVION BROKERS, SEATTLE, WA",30,"SEATTLE, WA"
3073,"DHL, SEATTLE, WA",30,"SEATTLE, WA"
3074,"AIRBORNE EXPRESS, SEATTLE, WA",30,"SEATTLE, WA"
3082,GRANT COUNTY AIRPORT,30,"SEATTLE, WA"
3095,"UPS, SEATTLE, WA",30,"SEATTLE, WA"
3101,"JUNEAU, AK",31,"ANCHORAGE, AK"
3102,"KETCHIKAN, AK",31,"ANCHORAGE, AK"
3103,"SKAGWAY, AK",31,"ANCHORAGE, AK"
3104,"ALCAN, AK",31,"ANCHORAGE, AK"
3105,"WRANGELL, AK",31,"ANCHORAGE, AK"
3106,"DALTON CACHE, AK",31,"ANCHORAGE, AK"
3111,"FAIRBANKS, AK",31,"ANCHORAGE, AK"
3115,"SITKA, AK",31,"ANCHORAGE, AK"
3126,"ANCHORAGE, AK",31,"ANCHORAGE, AK"
3195,"FEDEX, ANCHORAGE, AK",31,"ANCHORAGE, AK"
3196,"UPS, ANCHORAGE, AK",31,"ANCHORAGE, AK"
3201,"HONOLULU, HI",32,"HONOLULU, HI"
3202,"HILO, HI",32,"HONOLULU, HI"
3203,"KAHULUI, HI",32,"HONOLULU, HI"
3204,"NAWILIWILI-PORT ALLEN,HI",32,"HONOLULU, HI"
3205,"HONOLULU INTL AIRPRT, HI",32,"HONOLULU, HI"
3206,"KONA, HI",32,"HONOLULU, HI"
3279,"HONOLULU FTZ, HI",32,"HONOLULU, HI"
3301,"RAYMOND, MT",33,"GREAT FALLS, MT"
3302,"EASTPORT, ID",33,"GREAT FALLS, MT"
3303,"SALT LAKE CITY, UT",33,"GREAT FALLS, MT"
3304,"GREAT FALLS, MT",33,"GREAT FALLS, MT"
3305,"BUTTE, MT",33,"GREAT FALLS, MT"
3306,"TURNER, MT",33,"GREAT FALLS, MT"
3307,"DENVER, CO",33,"GREAT FALLS, MT"
3308,"PORTHILL, ID",33,"GREAT FALLS, MT"
3309,"SCOBY, MT",33,"GREAT FALLS, MT"
3310,"SWEETGRASS, MT",33,"GREAT FALLS, MT"
3316,"PIEGAN, MT",33,"GREAT FALLS, MT"
3317,"OPHEIM, MT",33,"GREAT FALLS, MT"
3318,"ROOSVILLE, MT",33,"GREAT FALLS, MT"
3319,"MORGAN, MT",33,"GREAT FALLS, MT"
3321,"WHITLASH, MT",33,"GREAT FALLS, MT"
3322,"DEL BONITA, MT",33,"GREAT FALLS, MT"
3323,"WILDHORSE, MT",33,"GREAT FALLS, MT"
3324,KALISPELL AIRPORT,33,"GREAT FALLS, MT"
3325,"GLACIER PARK INTL AIRPORT, MT",33,"GREAT FALLS, MT"
3384,"ARAPAHOE COUNTY PUBLIC AIRPORT, CO",33,"GREAT FALLS, MT"
3385,EAGLE COUNTY REGIONAL AIRPORT,33,"GREAT FALLS, MT"
3386,"BOZEMAN YELLOWSTONE USER FEE AIRPORT, BELGRADE, MT",33,"GREAT FALLS, MT"
3401,"PEMBINA, ND",34,"PEMBINA, ND"
3403,"PORTAL, ND",34,"PEMBINA, ND"
3404,"NECHE, ND",34,"PEMBINA, ND"
3405,"ST JOHN, ND",34,"PEMBINA, ND"
3406,"NORTHGATE, ND",34,"PEMBINA, ND"
3407,"WALHALLA, ND",34,"PEMBINA, ND"
3408,"HANNAH, ND",34,"PEMBINA, ND"
3409,"SARLES, ND",34,"PEMBINA, ND"
3410,"AMBROSE, ND",34,"PEMBINA, ND"
3411,"FARGO,ND",34,"PEMBINA, ND"
3413,"ANTLER, ND",34,"PEMBINA, ND"
3414,"SHERWOOD, ND",34,"PEMBINA, ND"
3415,"HANSBORO, ND",34,"PEMBINA, ND"
3416,"MAIDA, ND",34,"PEMBINA, ND"
3417,"FORTUNA, ND",34,"PEMBINA, ND"
