port_code,port_name,district_code,district_name,port_consolidated,port_coast,port_region,port_type
2017,"LAKE CHARLES, LA",20,"NEW ORLEANS, LA",Lake Charles,Gulf,Gulf East,seaport
2018,"SHREVEPORT/BOSSIER CITY, LA",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2027,"TRI-CITIES AIRPORT, TN",20,"NEW ORLEANS, LA",New Orleans,Gulf,Gulf East,airport
2095,"FEDEX, MEMPHIS, TN",20,"NEW ORLEANS, LA",New Orleans,Gulf,Gulf East,courier
2101,"PORT ARTHUR, TX",21,"PORT ARTHUR, TX",Port Arthur,Gulf,North Texas,seaport
2102,"SABINE, TX",21,"PORT ARTHUR, TX",Sabine River,Gulf,North Texas,seaport
2103,"ORANGE, TX",21,"PORT ARTHUR, TX",Sabine River,Gulf,North Texas,seaport
2104,"BEAUMONT, TX",21,"PORT ARTHUR, TX",Beaumont,Gulf,North Texas,seaport
2301,"BROWNSVILLE, TX",23,"LAREDO, TX",South Texas Border,Land Ports,South Texas,land_border
2302,"DEL RIO, TX",23,"LAREDO, TX",Del Rio,Land Ports,South Texas,land_border
2303,"EAGLE PASS, TX",23,"LAREDO, TX",Eagle Pass,Land Ports,South Texas,land_border
2304,"LAREDO, TX",23,"LAREDO, TX",Laredo,Land Ports,South Texas,land_border
2305,"HIDALGO, PHARR, TX",23,"LAREDO, TX",Hidalgo/Pharr,Land Ports,South Texas,land_border
2307,"RIO GRANDE CITY, TX",23,"LAREDO, TX",South Texas Border,Land Ports,South Texas,land_border
2309,"PROGRESO, TX",23,"LAREDO, TX",South Texas Border,Land Ports,South Texas,land_border
2310,"ROMA, TX",23,"LAREDO, TX",South Texas Border,Land Ports,South Texas,land_border
2383,"VALLEY INTL AIRPORT, HARLINGEN, TX",23,"LAREDO, TX",South Texas Border,Land Ports,South Texas,airport
2401,"YSLETA, TX",24,"EL PASO, TX",El Paso,Land Ports,Land Ports,land_border
2402,"EL PASO, TX",24,"EL PASO, TX",El Paso,Land Ports,Land Ports,land_border
2403,"PRESIDIO, TX",24,"EL PASO, TX",El Paso Border,Land Ports,Land Ports,land_border
2404,"FABENS, TX",24,"EL PASO, TX",El Paso Border,Land Ports,Land Ports,land_border
2406,"COLUMBUS, NM",24,"EL PASO, TX",El Paso Border,Land Ports,Land Ports,land_border
2407,"ALBUQUERQUE, NM",24,"EL PASO, TX",El Paso Border,Land Ports,Land Ports,seaport
2408,"SANTA TERESA, NM",24,"EL PASO, TX",Santa Teresa,Land Ports,Land Ports,land_border
2481,"SANTA TERESA AIRPORT, NM",24,"EL PASO, TX",El Paso Border,Land Ports,Land Ports,airport
