shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
KENYA,2023,0.0,0.0,1.0,0.0,0.0,2.1102734257739506,0.0,
KOREA,2023,0.0,0.0,1.0,0.0,0.0,2.1102734257739506,0.0,
LATVIA,2023,0.0,0.0,1.0,1.0,73577.0,2.1102734257739506,155268.0,
LEBANON,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
MALAYSIA,2023,0.0,0.0,3.0,2.0,130000.0,2.1102734257739506,274336.0,
MALAYSIA,2024,0.0,0.0,3.0,1.0,80239.0,2.0641557547316407,165626.0,
MAURITIUS,2024,0.0,0.0,2.0,1.0,73000.0,2.0641557547316407,150683.0,
METINVEST,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
MEXICO,2021,0.0,0.0,2.0,2.0,60000.0,2.232689430705837,133961.0,
MOROCCO,2021,0.0,0.0,5.0,3.0,131000.0,2.232689430705837,292482.0,
MOROCCO,2023,0.0,0.0,13.0,7.0,336506.0,2.1102734257739506,710120.0,
MOROCCO,2024,0.0,0.0,11.0,5.0,252921.0,2.0641557547316407,522068.0,
NCR,2023,0.0,0.0,3.0,1.0,97000.0,2.1102734257739506,204697.0,
NETHERLANDS,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
NETHERLANDS,2022,0.0,0.0,4.0,3.0,177217.0,1.9700504815059154,349126.0,
NETHERLANDS,2023,0.0,0.0,2.0,2.0,130000.0,2.1102734257739506,274336.0,
NETHERLANDS,2024,0.0,0.0,1.0,1.0,46699.0,2.0641557547316407,96394.0,
NIPPON STEEL,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
NORWAY,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
OLUMA,2024,0.0,0.0,3.0,1.0,43319.0,2.0641557547316407,89417.0,
PAKISTAN,2021,0.0,0.0,1.0,1.0,50000.0,2.232689430705837,111634.0,
PANAMA,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
PBS COAL,2024,0.0,0.0,3.0,0.0,0.0,2.0641557547316407,0.0,
PEABODY,2024,0.0,0.0,16.0,10.0,512722.0,2.0641557547316407,1058338.0,
PEABODY,2025,0.0,0.0,14.0,13.0,772826.0,1.9886938064949435,1536914.0,
PEABODY,2026,0.0,0.0,1.0,1.0,80746.0,1.8476221035807328,149188.0,
PERU,2022,0.0,0.0,4.0,1.0,32999.0,1.9700504815059154,65010.0,
POCAHONTAS,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
