CTRY_NAME,FORPORT_NAME,FORPORT_CD
Canada,"Souris, PEI",14467
Canada,"South Pender Island, BC",12200
Canada,"Spences Island, NS",13400
Canada,"Spragge, ONT",6767
Canada,"Squamish, BC",12208
Canada,"St. Andrews, NB",14426
Canada,"St. Anthony, NFLD",15212
Canada,"St. Catharines, ONT",1690
Canada,"St. John's, NFLD",15282
Canada,"St. Lawrence, NFLD",15283
Canada,"St. Romuald, QUE",14090
Canada,"Stanovan, BC",12475
Canada,"Stephenville, NL",15285
Canada,"Steveston, BC",12200
Canada,"Stewart, BC",12478
Canada,"Summerside, PEI",14470
Canada,"Sydney, NS",13852
Canada,"Tahsis, BC",12482
Canada,"Texada, BC",12206
Canada,"Thessalon, ONT",8527
Canada,"Thorold, ONT",2649
Canada,"Three Rivers, QUE",14474
Canada,"Thunder Bay, ONT",9662
Canada,"Toronto, ONT",1535
Canada,"Tracy, QUE",1807
Canada,"Trois Rivieres, QUE",14474
Canada,"Tuktoyaktuk, NWT",13470
Canada,"Twin Creeks, BC",12208
Canada,"Ucuelet, BC",12218
Canada,"Union Bay, BC",12491
Canada,"Valleyfield, QUE",14067
Canada,"Van Anda, BC",12492
Canada,"Vancouver, BC",12493
Canada,"Victoria Harbor, ONT",6682
Canada,"Victoria, BC",12494
Canada,"Victoria, PEI",13456
Canada,"Walkerville, ONT",9605
Canada,"Watson Island, BC",12420
Canada,"Welland, ONT",2645
Canada,"Welshpool, NB",13457
Canada,"Whiffen Head, NFLD",15230
Canada,"Whitby, ONT",9671
Canada,"White Rock,BC",12200
Canada,"Whitefish River, ONT",9667
Canada,"Whonnock, BC",12488
Canada,"Whonok, BC",12488
Canada,"Wiarton, ONT",9000
Canada,"Wilsons Beach, NB",13400
Canada,"Windsor, ONT",3512
Canada,"Witless Bay, NFLD",15200
Canada,"Woodfibre, BC",12212
Canada,"Woodwards Cove, NB",13829
Canada,"Yarmouth, NS",13847
Cape Verde,All Other Cape Verde Ports,76499
Cape Verde,Mindelo,76465
Cape Verde,Porto Grande,76465
Cape Verde,Porto Praia,76475
Cape Verde,Praia,76475
Cape Verde,Sal Island,76499
Cayman Isl,All Other Cayman Island Ports,24400
Cayman Isl,Cayman Brac,24415
Cayman Isl,Georgetown,24410
Cayman Isl,Grand Cayman,24410
Chile,All Other Chile Ports,33700
Chile,Ancud,33700
Chile,Angamos,33704
Chile,Antofagasta,33703
Chile,Arica,33706
Chile,Caldera,33708
Chile,Caleta Barquito,33716
Chile,Caleta Buena,33700
Chile,Caleta Patillos,33765
Chile,Carrizal Bajo,33700
Chile,Chacabuco,33700
Chile,Chanaral,33716
Chile,Coquimbo,33721
Chile,Coronel,33700
Chile,Corral,33700
Chile,Cruz Grande,33700
Chile,Easter Island,33700
Chile,Gatico,33700
Chile,Guanillo,33700
Chile,Guayacan,33735
Chile,Huasco,33739
Chile,Iquique,33741
Chile,Las Salinas,33797
Chile,Lebu,33700
Chile,Lirquen,33751
Chile,Los Vilos,33700
Chile,Lota,33700
Chile,Mejillones del Sur,33700
Chile,Pabellon,33700
Chile,Papudo,33700
Chile,Patillos,33765
Chile,Pena Blanca,33700
Chile,Penco,33782
Chile,Pisagua,33700
Chile,Puerto Montt,33700
Chile,Puerto de Lirquen,33751
Chile,Punta Arenas,33770
Chile,Punta Patache,33700
Chile,Quintero,33775
Chile,San Antonio,33779
Chile,San Vicente,33780
Chile,Santiago,33776
Chile,Talcahuano,33781
Chile,Taltal,33700
Chile,Tocopilla,33788
Chile,Tome,33700
Chile,Valdivia,33700
Chile,Valparaiso,33797
China,All Other Peoples Republic of China Ports,57000
China,Amoy,57069
China,Basuo,57003
China,Bei Hai,57076
China,Bei Jao,57016
China,Beihai,57076
China,Beilun,57005
China,Chang Sha,57000
China,Chefoo,57055
China,Chen Chiang,57000
China,Chen Huang Tao,57009
China,Cheng Ling Chi,57000
China,Chenglin,57000
China,Chenglingji,57000
China,Chin Wang Tao,57009
China,Chin Wangtao,57009
China,Ching Kiang,57000
China,Ching Tao,57047
China,Chinkiang,57000
China,Chiwan,57067
China,Da Chan Bay,57045
China,Dagu/Tanggu,57017
China,Dairen,57051
China,Dalian,57051
China,Dongfeng,57003
China,Dongguan,57056
China,Fangcheng,57044
China,Foochou,57015
China,Foochow,57015
China,Fuchou,57015
China,Fuqing,57011
China,Fuzhou,57015
China,Guangzhou,57071
China,Haikou,57012
China,Hankow,57013
China,Hsia Men,57069
China,Hsin Kang,57017
China,Hsinkang,57017
China,Hu lu Tao,57000
China,Huangpu,57072
China,Huizhou,57022
China,Huludao Gang,57000
China,Hulutao,57000
China,Jiangmen,57000
China,Jiangyin,57080
China,Jiu Jiang,57000
China,Jiuzhou,57077
China,Kiukiang,57000
China,Lianyungang,57025
China,Lien Yin Chiang,57025
China,Lu Shun,57052
China,Luda,57051
China,Lushun,57052
China,Military-Guangzhou,92008
China,Military-Hsinhaing,92007
China,Military-Quingdao,92010
China,Military-Tainjin,92009
China,Nan Ching,57014
China,Nanjing,57014
China,Nanking,57014
China,Nansha,57073
China,Nantong,57074
China,Newchang,57000
China,Newchwang,57000
China,Ning Bo,57020
China,Ningpo,57020
China,Pakho,57076
China,Pakhoi,57076
China,Pei hai Anchorage,57000
China,Port Arthur,57052
China,Qingdao,57047
China,Qinhuangdao Gang,57009
China,Qinzhou,57042
China,Quangzhou,57071
China,Quanzhou,57071
China,Quingdao,57047
China,Rizhao,57024
China,Rongqi,57000
China,Ryojun Ko,57000
China,San T Ou,57070
China,Shan T ou,57070
China,Shang hai,57035
China,Shanghai,57035
China,Shantou,57070
China,Shekou,57018
China,Shunde,57000
China,Swatou,57070
China,Swatow,57070
China,Taicang,57038
China,Tanjiajing,57030
China,Tianjin,57043
China,Tianjinxin Gang,57043
China,Tienching,57043
China,Tientsin,57043
China,Tsamkong,57075
China,Tsingtao,57047
China,Wei hai,57000
China,Weihai,57000
China,Wenzhow,57021
China,Whampoa,57072
China,Wu Hu,57000
China,Wuhan,57013
China,Wuhu,57000
China,Xiamen,57069
China,Xingang,57017
China,YangShan,57037
China,Yantai,57055
China,Yantian,57078
China,Yentai,57055
China,Yingkou,57053
China,Zhangjiagang,57075
China,Zhanjiang,57075
China,Zhanjiang gang,57075
China,Zhaoqing,57000
China,Zhenjiang,57019
China,Zhongshan,57079
China,Zhuhai,57077
China Taiwan,All Other China (Taiwan) Ports,58300
China Taiwan,Chi Lung,58301
China Taiwan,Chilung,58301
China Taiwan,Hualien,58312
China Taiwan,Kao Hsiung,58309
China Taiwan,Kaohsiung,58309
China Taiwan,Keelung,58301
China Taiwan,Kiirun,58301
China Taiwan,Koolung,58301
China Taiwan,Shilong,58301
China Taiwan,Su Ao,58302
China Taiwan,Suao,58302
China Taiwan,Tai Chung,58303
