Code,Sked_D_E,Port_Consolidated,Port_Coast,Port_Region, Action ,Note,Sked_D,Action
2304,"Laredo, Texas",Land Ports,Land  Ports,Land Ports,1,,"LAREDO, TX",
2305,"Hidalgo, Texas",Land Ports,Land  Ports,Land Ports,1,,"HIDALGO, PHARR, TX",
2307,"Rio Grande City, Texas",Land Ports,Land  Ports,Land Ports,1,,"RIO GRANDE CITY, TX",
2309,"Progreso, Texas",Land Ports,Land  Ports,Land Ports,1,,"PROGRESO, TX",
2310,"Roma, Texas",Land Ports,Land  Ports,Land Ports,1,,"ROMA, TX",
2330,"Harlingen, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2350,"Border Patrol Sector HQ, Del Rio, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2351,"Comstock Border Patrol, Comstock, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2352,"Carrizo Springs Border Patrol, Carrizo Springs, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2353,"Del Rio Border Patrol, Del Rio, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2354,"Eagle Pass Border Patrol, Eagle Pass, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2355,"Brackettville Border Patrol, Brackettville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2356,"Uvalde Texas Border Patrol, Uvalde, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2357,"Rocksprings Border Patrol, Rocksprings, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2358,"Llano Texas Border Patrol, Llano, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2359,"San Angelo Border Patrol, San Angelo, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2360,"Abilene Texas Border Patrol, Abilene, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2361,"Border Patrol Sector HQ, McAllen, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2362,"Mercedes Border Patrol, Weslaco, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2363,"Falfurrias  Border Patrol, Falfurrias, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2364,"Rio Grande City Border Patrol, Rio Grande City, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2365,"McAllen Border Patrol, McAllen, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2366,"Brownsville Border Patrol, Brownsville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2367,"Harlingen Border Patrol, Harlingen, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2368,"Kingsville Border Patrol, Kingsville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2369,"Fort Brown Border Patrol, Brownsville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2370,"Corpus Christie Border Patrol, Corpus Christie, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2377,"Harlingen # Valley International, Harlingen, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2383,"Valley International User Fee Airport, Harlingen, Texas",Land Ports,Land  Ports,Land Ports,1,,"VALLEY INTL AIRPORT, HARLINGEN, TX",
2393,"Brownsville-Cartage Control, Brownsville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2396,"San Antonio-Cartage Control, San Antonio, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2397,"Roma-Cartage Control, Roma, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2398,"Hidalgo Cartage Control, Pharr, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2401,Area Port of Ysleta,Land Ports,Land  Ports,Land Ports,1,,"YSLETA, TX",
2402,"El Paso, Texas",Land Ports,Land  Ports,Land Ports,1,,"EL PASO, TX",
2403,"Presidio, Texas",Land Ports,Land  Ports,Land Ports,1,,"PRESIDIO, TX",
2404,"Tornillo, Texas",Land Ports,Land  Ports,Land Ports,1,,"FABENS, TX",
2406,"Columbus, New Mexico",Land Ports,Land  Ports,Land Ports,1,,"COLUMBUS, NM",
2407,"Albuquerque, New Mexico",Land Ports,Land  Ports,Land Ports,1,,"ALBUQUERQUE, NM",
2408,"Santa Teresa, New Mexico",Land Ports,Land  Ports,Land Ports,1,,"SANTA TERESA, NM",
2409,"Fort Hancock, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2410,"Boquillas, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2420,"Deming, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2421,"Las Cruces, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2422,"Alamogordo, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2423,"Carlsbad, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2424,"Alpine, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2425,"Midland, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2426,"Van Horn, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2427,"Marfa, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2450,"Border Patrol Sector HQ, El Paso, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2451,"Lordsburg New Mexico Border Patrol, Lordsburg, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2452,"Truth or Cons Border Patrol, Truth or Cons, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2453,"Las Cruces Border Patrol, Las Cruces, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2454,"El Paso Border Patrol, El Paso, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2455,"Fabens Texas Border Patrol, Fabens, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2456,"Alamogordo Border Patrol, Alamogordo, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2457,"Fort Hancock Texas Border Patrol, Fort Hancock, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2458,"Carlsbad New Mexico Border Patrol, Carlsbad, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2459,"Deming New Mexico Border Patrol, Deming, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2460,"Silver City New Mexico Border Patrol, Silver City, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2461,"Ysleta Border Patrol, El Paso, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2462,"Albuquerque Border Patrol, Albuquerque, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2463,"Santa Teresa Border Patrol, Santa Teresa, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2481,"Santa Teresa Airport, Santa Teresa, New Mexico",Land Ports,Land  Ports,Land Ports,1,,"SANTA TERESA AIRPORT, NM",
2482,"Roswell Industrial Airport, Roswell, New Mexico",Land Ports,Land  Ports,Land Ports,1,,,
2499,"El Paso Cartage Control, El Paso, Texas",Land Ports,Land  Ports,Land Ports,1,,,
0250,"Border Patrol Sector, Swanton, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
2501,"San Diego, California",LA-Long Beach,West,California,1,,"SAN DIEGO, CA",
2502,"Andrade, California",Land Ports,Land  Ports,Land Ports,1,,"ANDRADE, CA",
2503,"Calexico, California",Land Ports,Land  Ports,Land Ports,1,,"CALEXICO, CA",
2504,"San Ysidro, California",Land Ports,Land  Ports,Land Ports,1,,SAN YSIDRO,
2505,"Tecate, California",Land Ports,Land  Ports,Land Ports,1,,"TECATE, CA",
2506,"Otay Mesa, California",Land Ports,Land  Ports,Land Ports,1,,OTAY MESA,
2507,"Calexico-East, California",Land Ports,Land  Ports,Land Ports,1,,CALEXICO-EAST,
0251,"Swanton Border Patrol, Swanton, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
0252,"Richford Border Patrol, Richford, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
2520,"Oceanside, California",Land Ports,Land  Ports,Land Ports,1,,,
2521,"El Centro, Oceanside, California",Land Ports,Land  Ports,Land Ports,1,,,
0253,"Newport Vermont Border Patrol, Newport, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
0254,"Beecher Falls Border Patrol, Beecher Falls, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
0255,"Champlain Border Patrol, Champlain, New York",Land Ports,Land  Ports,Land Ports,1,,,
2550,"Border Patrol Sector HQ, El Centro, California",Land Ports,Land  Ports,Land Ports,1,,,
2551,"Indio California Border Patrol, Indio, California",Land Ports,Land  Ports,Land Ports,1,,,
2552,"El Centro California Border Patrol, El Centro, California",Land Ports,Land  Ports,Land Ports,1,,,
2553,"Riverside California Border Patrol, Riverside, California",Land Ports,Land  Ports,Land Ports,1,,,
2554,"Calexico California Border Patrol, Calexico, California",Land Ports,Land  Ports,Land Ports,1,,,
0256,"Ogdensburg Border Patrol, Ogdensburg, New York",Land Ports,Land  Ports,Land Ports,1,,,
0257,"Massena Border Patrol, Massena, New York",Land Ports,Land  Ports,Land Ports,1,,,
0258,"Burke New York Border Patrol, Burke, New York",Land Ports,Land  Ports,Land Ports,1,,,
2582,"Otay-Cross Border User Fee Airport, San Diego, California",Land Ports,Land  Ports,Land Ports,1,,,
2601,"Douglas, Arizona",Land Ports,Land  Ports,Land Ports,1,,"DOUGLAS, AZ",
2602,"Lukeville, Arizona",Land Ports,Land  Ports,Land Ports,1,,"LUKEVILLE, AZ",
2603,"Naco, Arizona",Land Ports,Land  Ports,Land Ports,1,,"NACO, AZ",
2604,"Nogales, Arizona",Land Ports,Land  Ports,Land Ports,1,,"NOGALES, AZ",
2605,"Phoenix, Arizona",Land Ports,Land  Ports,Land Ports,1,,"PHOENIX, AZ",
2606,"Sasabe, Arizona",Land Ports,Land  Ports,Land Ports,1,,"SASABE, AZ",
2607,"Sells, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2608,"San Luis, Arizona",Land Ports,Land  Ports,Land Ports,1,,"SAN LUIS, AZ",
2609,"Tucson, Arizona",Land Ports,Land  Ports,Land Ports,1,,"TUCSON, AZ",
