USACE_PORT,USACE_PORT_NAME,Census_Code,Census_Sked_D_E,Port_Consolidated,Port_Coast,Port_Region,Match_Type
3778,"Port of Green Bay, WI",3703,"Green Bay, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,City+State Exact
3782,"Manistee, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3783,"Port of Ludington, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3795,"Escanaba, MI",3808,"Escanaba, Michigan",Detroit-Milwaukee,Great Lakes,Great Lakes,City+State Exact
3803,"Mueller Township, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3809,St Mary's River-drummond Island Access,,,,,,NO MATCH
3817,"Sault Ste Marie, MI",3803,"Sault Ste Marie, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3841,"Marquette, MI",3809,"Marquette, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3850,"Keweenaw Waterway, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3901,Lake Superior,,,,,,NO MATCH
3924,"Duluth-Superior, MN and WI",3510,"Duluth, Wisconsin",Duluth,Great Lakes,Great Lakes,Manual Override
3926,"Two Harbors, MN",,,,,,NO MATCH
4102,"San Diego Unified Port District, CA",2501,"San Diego, California",LA-Long Beach,West,California,City+State Exact
4110,"Port of Long Beach, CA",2709,"Long Beach, California",LA-Long Beach,West,California,Manual Override
4120,"Port of Los Angeles, CA",2704,"Los Angeles, California",LA-Long Beach,West,California,Manual Override
4133,"Santa Barbara, CA",,,San Franciso,West,California,State Fallback
4142,"Catalina Island Ports, CA",,,San Franciso,West,California,State Fallback
4146,"El Segundo, CA",,,San Franciso,West,California,State Fallback
4150,"PORT HUENEME, CA",2713,"Port Hueneme, California",LA-Long Beach,West,California,City+State Exact
4151,"Oxnard Harbor District, CA",,,San Franciso,West,California,State Fallback
4200,"Suisun Bay Channel, CA",,,San Franciso,West,California,State Fallback
4240,"Sacramento-Yolo Port District, CA",,,San Franciso,West,California,State Fallback
4260,"San Joaquin River, CA",2501,"San Diego, California",LA-Long Beach,West,California,City Fuzzy+State
4270,"Stockton Port District, CA",2810,"Stockton, California",San Franciso,West,California,City+State Exact
4335,"San Francisco Port Commission, CA",2809,"San Francisco, California",San Franciso,West,California,City+State Exact
4340,"Redwood City, CA",2821,"Redwood City, California",San Franciso,West,California,City+State Exact
4344,"Port of Oakland, CA",2811,"Oakland, California",San Franciso,West,California,City+State Exact
4345,"Oakland Harbor, CA",2811,"Oakland, California",San Franciso,West,California,City+State Exact
4351,"Richmond, CA",2812,"Richmond, California",San Franciso,West,California,City+State Exact
4355,"San Pablo Bay and Mare Island Strait, CA",2501,"San Diego, California",LA-Long Beach,West,California,City Fuzzy+State
4360,"Carquinez Strait, CA",2830,"Carquinez Strait, California",San Franciso,West,California,City+State Exact
4374,"Humboldt Bay Harbor, Recreation and Conservation District, CA",,,San Franciso,West,California,State Fallback
4400,"Hilo, Hawai'i, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4410,"Kahului, Maui, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4412,"Kailua-Kona, Hawai'i, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4421,"Honolulu, O'ahu, HI",3201,"Honolulu, Hawaii","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",Manual Override
4431,"Nawiliwili, Kaua'i, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4445,"Kewalo Basin, Honolulu, Oahu, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4450,"Pearl Harbor, O'ahu, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4458,"Kalaeloa Barbers Point, O'ahu, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4468,"Lahaina, Maui, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4471,"Maalaea, Maui, HI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4490,"Santa Barbara Island, CA",,,San Franciso,West,California,State Fallback
4560,"St Matthew Island, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4590,"Shelikof Strait, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4610,"Clatsop County Port District, OR",,,Columbia River,West,Pacific Northwest,State Fallback
4622,"Port of Longview, WA",2905,"Longview, Washington",Columbia River,West,Pacific Northwest,City+State Exact
4626,"Port of Kalama, WA",2909,"Kalama, Washington",Columbia River,West,Pacific Northwest,City+State Exact
4629,"Port of Columbia County, OR",,,Columbia River,West,Pacific Northwest,State Fallback
4636,"Port of Vancouver USA, WA",2908,"Vancouver, Washington",Columbia River,West,Pacific Northwest,City Fuzzy+State
4646,"Port of Portland, OR",2904,"Portland, Oregon",Columbia River,West,Pacific Northwest,City+State Exact
4659,"Oregon International Port of Coos Bay, OR",,,Columbia River,West,Pacific Northwest,State Fallback
4707,"Clallam County Port District, WA",,,Seattle-Tacoma,West,Pacific Northwest,State Fallback
4709,"Grays Harbor Port District, WA",,,Seattle-Tacoma,West,Pacific Northwest,State Fallback
4713,"Port of Olympia, WA",3026,"Olympia, Washington",Seattle-Tacoma,West,Pacific Northwest,City+State Exact
4715,"Puget Sound Spine, WA",,,Seattle-Tacoma,West,Pacific Northwest,State Fallback
4719,"Tacoma, WA",3002,"Tacoma, Washington",Seattle-Tacoma,West,Pacific Northwest,City+State Exact
4721,"Bremeton, WA, Channel to",,,,,,NO MATCH
4722,"Port of Seattle, WA",3001,"Seattle, Washington",Seattle-Tacoma,West,Pacific Northwest,Manual Override
4727,"Port of Everett, WA",3006,"Everett, Washington",Seattle-Tacoma,West,Pacific Northwest,City+State Exact
4730,"Port of Anacortes, WA",3010,"Anacortes, Washington",Seattle-Tacoma,West,Pacific Northwest,City+State Exact
4736,"Bellingham, WA",3005,"Bellingham, Washington",Seattle-Tacoma,West,Pacific Northwest,City+State Exact
4743,"Rosario Strait, WA - Georgia Strait Spine, WA",,,Seattle-Tacoma,West,Pacific Northwest,State Fallback
4754,"Puget Sound Area, WA, Other Ports",,,,,,NO MATCH
4768,"Behm Canal, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4770,"Tongass Narrows, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4793,"Icy Strait, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4795,"Wrangell, AK",3105,"Wrangell, Alaska",Land Ports,Land  Ports,Land Ports,City+State Exact
4796,"Sitka Ports and Harbor Commission, AK",3115,"Sitka, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City Fuzzy+State
4797,"Hoonah, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4799,"Cordova, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4808,"Sitka Harbor, AK",3115,"Sitka, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
4816,"Valdez, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4820,"Port of Alaska, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4823,"Juneau, AK",3101,"Juneau, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
4824,"Whittier, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4826,"Petersburg, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4827,"Ketchikan, AK",3102,"Ketchikan, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
4830,"Homer, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4831,"Nikiski, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4845,"Cook Inlet, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4857,"Skagway, AK",3103,"Skagway, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
4859,"Prince William Sound, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4865,"Prince of Wales Is. West Side, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4869,"Craig, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4878,"Metlakatla, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
4886,"Klawock Harbor, AK",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
