commodity,class_code,class_name,grade_code,grade_name,records,avg_test_weight,min_test_weight,max_test_weight,median_test_weight,avg_sf_ft3_per_lt,median_sf_ft3_per_lt,avg_sf_untrimmed_ft3_per_lt,median_sf_untrimmed_ft3_per_lt
SUNFLOWER,,SUNFLOWER,2 O/B,US No. 2 or Better,76,28.81,25.02,30.82,29.01,96.97,96.11,102.78,101.87
SUNFLOWER,,SUNFLOWER,OT,OT,72,29.01,29.01,29.01,29.01,96.11,96.11,101.87,101.87
SUNFLOWER,,SUNFLOWER,,Ungraded,47,29.01,29.01,29.01,29.01,96.11,96.11,101.87,101.87
SUNFLOWER,,SUNFLOWER,SG,Sample Grade,4,24.47,24.02,24.8,24.54,113.94,113.64,120.78,120.46
SUNFLOWER,,SUNFLOWER,SGO/B,Sample Grade or Better,2,24.41,24.27,24.55,24.41,114.23,114.23,121.07,121.07
WHEAT,DUWH,Durum Wheat,2 O/B,US No. 2 or Better,1761,60.89,58.26,66.25,60.94,45.8,45.75,48.55,48.5
WHEAT,DUWH,Durum Wheat,3 O/B,US No. 3 or Better,1268,60.25,56.24,64.19,60.59,46.29,46.02,49.07,48.78
WHEAT,DUWH,Durum Wheat,1,US No. 1,908,62.22,60.0,64.5,62.26,44.82,44.78,47.51,47.47
WHEAT,DUWH,Durum Wheat,SG O/B,Sample Grade or Better,42,59.31,56.5,62.93,59.41,47.03,46.94,49.85,49.75
WHEAT,DUWH,Durum Wheat,4 O/B,US No. 4 or Better,39,59.97,58.55,64.03,59.49,46.51,46.87,49.3,49.68
WHEAT,DUWH,Durum Wheat,5 O/B,US No. 5 or Better,39,58.57,57.67,60.0,58.47,47.6,47.68,50.46,50.54
WHEAT,DUWH,Durum Wheat,2,US No. 2,23,61.05,59.2,63.4,60.79,45.69,45.86,48.43,48.62
WHEAT,DUWH,Durum Wheat,SG,Sample Grade,22,60.01,58.1,63.3,59.82,46.49,46.61,49.28,49.41
WHEAT,DUWH,Durum Wheat,,Ungraded,16,61.06,61.0,61.92,61.0,45.67,45.71,48.41,48.45
WHEAT,DUWH,Durum Wheat,3,US No. 3,16,60.31,58.7,62.5,60.59,46.24,46.02,49.02,48.78
WHEAT,DUWH,Durum Wheat,NG,No Grade,5,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,DUWH,Durum Wheat,4,US No. 4,4,59.5,57.29,60.6,60.05,46.89,46.43,49.7,49.22
WHEAT,DUWH,Durum Wheat,OT,OT,1,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,HDWH,Hard White Wheat,2 O/B,US No. 2 or Better,105,61.13,58.29,63.3,61.3,45.63,45.48,48.36,48.21
WHEAT,HDWH,Hard White Wheat,4 O/B,US No. 4 or Better,66,62.39,60.0,63.49,62.53,44.7,44.59,47.38,47.26
WHEAT,HDWH,Hard White Wheat,1,US No. 1,21,62.16,60.45,63.12,62.3,44.86,44.75,47.55,47.44
WHEAT,HDWH,Hard White Wheat,3 O/B,US No. 3 or Better,9,62.33,59.96,63.49,62.51,44.74,44.6,47.43,47.28
WHEAT,HDWH,Hard White Wheat,4,US No. 4,1,61.57,61.57,61.57,61.57,45.28,45.28,48.0,48.0
WHEAT,HDWH,Hard White Wheat,SG O/B,Sample Grade or Better,1,62.03,62.03,62.03,62.03,44.95,44.95,47.64,47.64
WHEAT,HDWH,Hard White Wheat,2,US No. 2,1,61.5,61.5,61.5,61.5,45.33,45.33,48.05,48.05
WHEAT,HRS,Hard Red Spring,2 O/B,US No. 2 or Better,18925,61.09,57.0,79.0,61.02,45.65,45.69,48.39,48.43
WHEAT,HRS,Hard Red Spring,1,US No. 1,3758,61.51,58.83,64.7,61.54,45.33,45.31,48.05,48.02
WHEAT,HRS,Hard Red Spring,2,US No. 2,174,61.08,57.9,63.61,61.0,45.65,45.71,48.39,48.45
WHEAT,HRS,Hard Red Spring,,Ungraded,71,61.08,60.48,63.36,61.0,45.65,45.71,48.39,48.45
WHEAT,HRS,Hard Red Spring,3 O/B,US No. 3 or Better,59,59.68,56.52,62.9,59.6,46.74,46.78,49.54,49.59
WHEAT,HRS,Hard Red Spring,SG O/B,Sample Grade or Better,18,60.84,58.89,62.67,60.61,45.84,46.01,48.59,48.77
WHEAT,HRS,Hard Red Spring,3,US No. 3,13,59.75,58.24,61.0,59.8,46.67,46.62,49.47,49.42
WHEAT,HRS,Hard Red Spring,SG,Sample Grade,9,55.95,52.97,62.8,54.34,50.02,51.31,53.02,54.39
WHEAT,HRS,Hard Red Spring,NG,No Grade,6,61.0,61.0,61.0,61.0,45.71,45.71,48.45,48.45
WHEAT,HRS,Hard Red Spring,4 O/B,US No. 4 or Better,4,61.12,59.79,62.3,61.2,45.63,45.57,48.37,48.31
WHEAT,HRS,Hard Red Spring,SGO/B,Sample Grade or Better,3,56.13,54.61,58.83,54.94,49.73,50.75,52.72,53.79
WHEAT,HRS,Hard Red Spring,4,US No. 4,3,59.23,57.0,63.1,57.6,47.17,48.4,50.0,51.31
WHEAT,HRW,Hard Red Winter,2 O/B,US No. 2 or Better,22383,60.96,57.69,77.58,61.0,45.75,45.71,48.5,48.45
WHEAT,HRW,Hard Red Winter,1,US No. 1,2639,61.96,60.0,65.42,61.93,45.01,45.02,47.71,47.72
WHEAT,HRW,Hard Red Winter,2,US No. 2,167,60.51,58.0,63.43,60.6,46.09,46.01,48.86,48.77
WHEAT,HRW,Hard Red Winter,3 O/B,US No. 3 or Better,25,59.76,57.68,62.25,59.49,46.67,46.87,49.47,49.68
WHEAT,HRW,Hard Red Winter,3,US No. 3,23,60.0,57.5,63.45,60.1,46.5,46.39,49.29,49.17
WHEAT,HRW,Hard Red Winter,SG O/B,Sample Grade or Better,12,61.33,59.52,62.68,61.42,45.47,45.4,48.2,48.12
WHEAT,HRW,Hard Red Winter,SG,Sample Grade,10,59.55,56.35,61.8,59.81,46.85,46.63,49.66,49.42
WHEAT,HRW,Hard Red Winter,,Ungraded,4,60.99,59.88,61.82,61.13,45.73,45.62,48.47,48.36
WHEAT,HRW,Hard Red Winter,4,US No. 4,2,60.75,59.5,62.0,60.75,45.92,45.92,48.67,48.67
WHEAT,HRW,Hard Red Winter,5,US No. 5,1,59.55,59.55,59.55,59.55,46.82,46.82,49.63,49.63
WHEAT,HRW,Hard Red Winter,SGO/B,Sample Grade or Better,1,58.63,58.63,58.63,58.63,47.55,47.55,50.41,50.41
WHEAT,HRW,Hard Red Winter,4 O/B,US No. 4 or Better,1,61.03,61.03,61.03,61.03,45.68,45.68,48.42,48.42
WHEAT,SRW,Soft Red Winter,2 O/B,US No. 2 or Better,10797,59.44,57.1,77.34,59.31,46.92,47.01,49.74,49.83
WHEAT,SRW,Soft Red Winter,3 O/B,US No. 3 or Better,324,58.12,56.0,62.15,57.8,47.99,48.25,50.87,51.14
WHEAT,SRW,Soft Red Winter,2,US No. 2,222,59.16,58.0,61.3,58.97,47.14,47.28,49.97,50.12
WHEAT,SRW,Soft Red Winter,4 O/B,US No. 4 or Better,41,57.64,54.4,59.5,57.7,48.39,48.32,51.29,51.22
WHEAT,SRW,Soft Red Winter,1,US No. 1,38,60.48,60.0,61.8,60.28,46.1,46.26,48.87,49.03
WHEAT,SRW,Soft Red Winter,SG,Sample Grade,38,58.45,55.59,60.21,58.58,47.72,47.6,50.58,50.45
WHEAT,SRW,Soft Red Winter,3,US No. 3,34,57.46,56.1,60.6,57.45,48.53,48.53,51.45,51.45
WHEAT,SRW,Soft Red Winter,SG O/B,Sample Grade or Better,29,58.24,56.2,60.18,58.44,47.89,47.71,50.76,50.57
WHEAT,SRW,Soft Red Winter,5 O/B,US No. 5 or Better,8,57.13,53.07,59.03,57.34,48.86,48.63,51.79,51.55
WHEAT,SRW,Soft Red Winter,,Ungraded,8,60.93,60.43,61.0,61.0,45.76,45.71,48.51,48.45
WHEAT,SRW,Soft Red Winter,4,US No. 4,6,56.01,55.56,56.7,55.81,49.78,49.96,52.76,52.95
