Cert_Date,Vessel,Port,Field_Office,Grain_Countries,Grain_Grades,Grain_Tons,Inspection_Count,Vessel_Norm,Port_Norm
2023-03-22,NBA MAGRITTE,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,69298,1,NBA MAGRITTE,MISSISSIPPI R.
2023-04-22,NESTOR,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,66901,1,NESTOR,MISSISSIPPI R.
2023-09-29,NEW ASCENT,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,67812,1,NEW ASCENT,COLUMBIA R.
2023-04-25,NEW BOUNDARY,COLUMBIA R.,PACIFICNW,TAIWAN,1,7270,1,NEW BOUNDARY,COLUMBIA R.
2023-05-11,NEW BOUNDARY,COLUMBIA R.,PACIFICNW,TAIWAN,1,9974,1,NEW BOUNDARY,COLUMBIA R.
2023-05-12,NEW BOUNDARY,COLUMBIA R.,PACIFICNW,TAIWAN,1,34177,1,NEW BOUNDARY,COLUMBIA R.
2023-09-21,NEW BOUNDARY,COLUMBIA R.,PACIFICNW,TAIWAN,1,17435,2,NEW BOUNDARY,COLUMBIA R.
2023-09-24,NEW BOUNDARY,COLUMBIA R.,PACIFICNW,TAIWAN,1,36328,1,NEW BOUNDARY,COLUMBIA R.
2023-04-18,NEW COMMANDER,MISSISSIPPI R.,NEW ORLEANS,PERU,2 O/B,7227,1,NEW COMMANDER,MISSISSIPPI R.
2023-04-19,NEW COMMANDER,MISSISSIPPI R.,NEW ORLEANS,PERU,2 O/B,25641,1,NEW COMMANDER,MISSISSIPPI R.
2023-09-30,NEW DEDICATION,S. TEXAS,LEAGUE CITY,CHINA,2 O/B,55045,1,NEW DEDICATION,S. TEXAS
2023-02-08,NEW DRIVE,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,51794,1,NEW DRIVE,MISSISSIPPI R.
2023-06-16,NEW ENRICH,MISSISSIPPI R.,NEW ORLEANS,JAPAN,2 O/B,9203,1,NEW ENRICH,MISSISSIPPI R.
2023-06-17,NEW ENRICH,MISSISSIPPI R.,NEW ORLEANS,JAPAN,"2 O/B, 3",42047,2,NEW ENRICH,MISSISSIPPI R.
2023-06-15,NEW FIRST,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,23467,2,NEW FIRST,COLUMBIA R.
