Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
16,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7210 statistical alignment (92.7% consensus, 99127 tons remaining)"
17,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,2,NONE,,,"HS4 7201 statistical alignment (97.0% consensus, 98936 tons remaining)"
18,Liquid Bulk,Chemicals,Chemicals,Caustic Soda,2,NONE,,,"HS4 2815 statistical alignment (95.9% consensus, 95906 tons remaining)"
19,Break Bulk,Metals,Zinc,Zinc,2,NONE,,,"HS4 7901 statistical alignment (97.2% consensus, 83008 tons remaining)"
20,Break Bulk,Perishables,Refrigerated,Refrigerated,2,NONE,,,"HS4 2008 statistical alignment (70.9% consensus, 79516 tons remaining)"
21,Break Bulk,Forestry,Pulp & Paper,Board,2,NONE,,,"HS4 4101 statistical alignment (74.4% consensus, 79491 tons remaining)"
22,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8474 statistical alignment (81.0% consensus, 78345 tons remaining)"
23,Dry Bulk,Minerals & Ores,Industrial Minerals,Perlite,2,NONE,,,"HS4 2530 statistical alignment (80.0% consensus, 77109 tons remaining)"
24,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8703 statistical alignment (88.7% consensus, 76775 tons remaining)"
25,Liquid Bulk,Fertilizer,Liquid Fertilizer,Liquid Fertilizer,2,NONE,,,"HS4 2821 statistical alignment (100.0% consensus, 66607 tons remaining)"
26,Break Bulk,Perishables,Refrigerated,Refrigerated,2,NONE,,,"HS4 0803 statistical alignment (88.4% consensus, 61442 tons remaining)"
27,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8414 statistical alignment (80.9% consensus, 59888 tons remaining)"
28,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 6104 statistical alignment (87.1% consensus, 58002 tons remaining)"
29,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,2,NONE,,,"HS4 2529 statistical alignment (75.7% consensus, 57789 tons remaining)"
30,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 4011 statistical alignment (79.2% consensus, 54850 tons remaining)"
31,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,,,"HS4 4703 statistical alignment (75.9% consensus, 54474 tons remaining)"
32,Dry Bulk,Minerals & Ores,Salt,Salt,2,NONE,,,"HS4 2501 statistical alignment (99.6% consensus, 52625 tons remaining)"
33,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 3801 statistical alignment (81.1% consensus, 52430 tons remaining)"
34,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 0511 statistical alignment (100.0% consensus, 47888 tons remaining)"
35,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 0802 statistical alignment (75.0% consensus, 44810 tons remaining)"
