Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
CINT,Cargill International S A,"no matches, carrier handles more one type of cargo, will have to leave for later stage",Dry Bulk,,,
DMNA,Dampskibsselskabet Norden Aktieselskab,"no matches, carrier handles more one type of cargo, will have to leave for later stage",Dry Bulk,,,
ABAH,A & B TRANSPORTATION LLC,Exclude,,,,
AJWI,A J WORLDWIDE SERVICES INC,Exclude,,,,
AAGP,A S A MANAGEMENT CORP,Exclude,,,,
ASCH,A S C LINES,Exclude,,,,
AAVO,AAVANT LOGISTICS,Exclude,,,,
AHQB,ABU DHABI MARINE OPERATIONS,Exclude,,,,
ALRB,AC CONTAINER LINE GMBH,Exclude,,,,
ADSN,ACCORDIA SHIPPING LLC,Exclude,,,,
ACDF,ACS LINES,Exclude,,,,
ANSL,ADAMAS NAVIGATION SA,Exclude,,,,
ALOR,ADVANCED LOGISTICS INC.,Exclude,,,,
AGWT,AIR & GROUND WORLD TRANSPORT,Exclude,,,,
ASST,AIR SEVEN (7) SEAS TRANSPORT LOGISTICS INC,Exclude,,,,
AIBA,AIRBUS SAS,Exclude,,,,
AIWL,AIT WORLDWIDE LOGISTICS INC,Exclude,,,,
AWZQ,AL SEER MARINE SUPPLIES & EQUIPMENT COMPANY P.J.S.C.,Exclude,,,,
AKFT,ALASKA REEFER MANAGEMENT,Exclude,,,,
AKFW,ALASKAN FRONTIER,Exclude,,,,
ABTB,ALBATRANS SPA,Exclude,,,,
ABMA,ALBERTA SHIPMANAGEMENT,Exclude,,,,
ABPG,ALBINI & PITIGLIANI SPA,Exclude,,,,
ANPM,ALFA SHIP OWNERS CORPORATION,Exclude,,,,
ALFP,ALFA SHIPPING S A,Exclude,,,,
AMNF,ALISON MANAGEMENT CORP,Exclude,,,,
ASBA,ALITALIA SOCIETA AEREA ITALIANA S P A,Exclude,,,,
AWSL,ALL WORLD SHIPPING CORP,Exclude,,,,
AFDV,ALPHA FORWARDING CO LTD,Exclude,,,,
AARG,ALPI AIR & SEA,Exclude,,,,
AEJM,ALTERNA CAPITAL PARTNERS LLC,Exclude,,,,
AMIG,AMASS INTERNATIONAL GROUP INC,Exclude,,,,
ABVW,AMASUS SHIPPING BV,Exclude,,,,
AMUH,AMC USA INC,Exclude,,,,
AZXS,AMERICA LOGISTICS SOLUTION INC,Exclude,,,,
APLU,AMERICAN PRESIDENT LINES LLC,Exclude,,,,
AXXM,AMERICANA EXPRESS CO LTD,Exclude,,,,
AXOG,AMEX LOGISTICS,Exclude,,,,
AXMA,AMIX MARINE SERVICES LTD,Exclude,,,,
AWZY,ANCHOR LOGISTICS SOLUTIONS LLC,Exclude,,,,
AIVI,ANCORA INVESTMENT TRUST INC,Exclude,,,,
ASHI,ANDRIAKI SHIPPING CO. LTD.,Exclude,,,,
AGMR,ANGLO-EASTERN MANAGEMENT GROUP LIMITED,Exclude,,,,
AJVI,ANJI SHIPPING CO LTD,Exclude,,,,
ANLC,ANL SINGAPORE PTE LTD,Exclude,,,,
ANRE,ANORE MARITIME INC,Exclude,,,,
AMLU,ANTILLEAN MARINE SHIPPING CORP,Exclude,,,,
AYTE,ANYTIME AUTO TRANSPORT INC,Exclude,,,,
AUIV,APRILE USA INC,Exclude,,,,
ABFB,ARC BEST INTERNATIONAL INC,Exclude,,,,
ASUL,AROSA SHIPPING LTD,Exclude,,,,
ATVV,ARROWCOM SHIPPING HK LIMITED,Exclude,,,,
ASFN,ASF GLOBAL LLC,Exclude,,,,
ASIP,ASIA PACIFIC LOGISTICS CO LTD,Exclude,,,,
