Zone,Facility,Vessel Types,Activity,Cargoes,ZoneType,Note
Ergon St James,Ergon St James,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Esplanade Ave,Esplanade Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Exxon Baton Rouge,Exxon Baton Rouge,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Emergency Anch,General/Quarantine Anch,All,Anchoring - Only,All,Anchorage,
General Anch,General/Quarantine Anch,All,Anchoring - Only,All,Anchorage,
Quarantine Anch,General/Quarantine Anch,All,Anchoring - Only,All,Anchorage,
Genesis Baton Rouge,Genesis Baton Rouge,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Gov Nicholls St,Gov Nicholls St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Grandview Lwr Anch,Grandview Anch,All,Anchoring - Only,All,Anchorage,
Grandview Mid Anch,Grandview Anch,All,Anchoring - Only,All,Anchorage,
Grandview Upr Anch,Grandview Anch,All,Anchoring - Only,All,Anchorage,
Harmony St,Harmony St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Henry Clay Ave,Henry Clay Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
IMC Faustina,IMC Faustina,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
IMT Coal,IMT Coal,Bulk - Only,Load - Only ,"Coal - Petcoke, 99%",Bulk Terminal,
IMT Coal Ship Dock,IMT Coal,Bulk - Only,Load - Only ,"Coal - Petcoke, 99%",Bulk Terminal,
IMTT Avondale,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT Geismar,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT Gretna,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT St Rose 14,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT St Rose 2,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT St Rose 4,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
IMTT St Rose 8,IMTT ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Julia St,Julia St,Cruise Only,All,Passengers Only,General Cargo,
KMI Harvey 1,KMI Harvey,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
KMI Harvey 2,KMI Harvey,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
KMI Harvey 3,KMI Harvey,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
KMI Harvey 4,KMI Harvey,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
KMI Seven Oaks,KMI Seven Oaks,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
KMI St Gabriel,KMI St Gabriel,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
La Grange Anch,La Grange Anch,All,Anchoring - Only,All,Anchorage,
Laplace Anch,Laplace Anch,All,Anchoring - Only,All,Anchorage,
133 Buoys,Laplace Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
134 Buoys,Laplace Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
LBC Sunshine,LBC Sunshine,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Louisana Ave,Louisiana Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Louisiana Ave,Louisiana Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Louisiana Sugar Refining,Louisiana Sugar Refining,Bulk - Only,Discharge - Only,Sugar - Only,Bulk Plant,
Magellan Marrero 1,Magellan Marrero ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Magellan Marrero 2,Magellan Marrero ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Magnolia Anch,Magnolia Anch,All,Anchoring - Only,All,Anchorage,
Mandeville St,Mandeville St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Marathon 1,Marathon Garyville,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Marathon 2,Marathon Garyville,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Marathon 5,Marathon Garyville,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Marlex,Marlex,All,All,Layberth,General Cargo,
Mrytle Grove Marine Terminal,MGMT,Bulk - Only,Load - Only ,Grain - Only,Mid-Stream,
Myrtle Grove Marine,MGMT,Bulk - Only,Load - Only ,Grain - Only,Mid-Stream,
Mosaic Uncle Sam,Mosaic Uncle Sam,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
MPLX Garyville 1,MPLX Garyville ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
MPLX Garyville 2,MPLX Garyville ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
MPLX Garyville 5,MPLX Garyville ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
MPLX Mt Airy 1,MPLX Mt Airy,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
MPLX Mt Airy 2,MPLX Mt Airy,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Napolean Ave,Napoleon Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Napoleon Ave,Napoleon Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Nashville Ave A,Nashville Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Nashville Ave B C,Nashville Ave,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Noranda Alumina,Noranda Alumina,Bulk - Only,Discharge - Only,Bauxite - Only,Bulk Plant,
Nucor Steel,Nucor Steel,Bulk - Only,Discharge - Only,"Iron Ore, DRI, Only",Bulk Plant,
NuStar St James 2,NuStar St James,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
NuStar St James 5,NuStar St James,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Occidental Convent,Occidental Convent,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Occidental Taft,Occidental Taft,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Ostrica Anch,Ostrica Anch,All,Anchoring - Only,All,Anchorage,
PBF Chalmette,PBF Chalmette,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
PCS Nitrogen,PCS Nitrogen,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
Perry Street,Perry Street,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Phillips 66 Alliance 2,Phillips 66 Alliance,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Phillips 66 Alliance 1,Phillips 66 Alliance ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Phoenix Anch,Phoenix Anch,All,Anchoring - Only,All,Anchorage,
Pilottown Anch,Pilottown Anch,All,Anchoring - Only,All,Anchorage,
Pin Oak Mt Airy,Pin Oak Mt Airy,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Placid Oil,Placid Oil,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Plains St James,Plains St James,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
