port_code,sked_d_name,cbp_appendix_e_name,district_code,district_name,state,port_consolidated,port_coast,port_region,port_type
2404,"FABENS, TX","Tornillo, Texas Marcelino Serna POE",24,"EL PASO, TX",TX,El Paso Border,Land Ports,Land Ports,land_border
2406,"COLUMBUS, NM","Columbus, New Mexico",24,"EL PASO, TX",NM,El Paso Border,Land Ports,Land Ports,land_border
2407,"ALBUQUERQUE, NM","Albuquerque, New Mexico",24,"EL PASO, TX",NM,El Paso Border,Land Ports,Land Ports,land_border
2408,"SANTA TERESA, NM","Santa Teresa, New Mexico",24,"EL PASO, TX",NM,Santa Teresa,Land Ports,Land Ports,land_border
2409,,"Fort Hancock, Texas",24,,TX,El Paso Border,Land Ports,Land Ports,
2410,,"Boquillas, Texas",24,,TX,El Paso Border,Land Ports,Land Ports,
2481,"SANTA TERESA AIRPORT, NM","Santa Teresa Airport, Santa Teresa, New Mexico",24,"EL PASO, TX",NM,El Paso Border,Land Ports,Land Ports,airport
2482,,"Roswell Industrial Airport, Roswell, New Mexico",24,,NM,El Paso Border,Land Ports,Land Ports,
2501,"SAN DIEGO, CA","San Diego, California",25,"SAN DIEGO, CA",CA,San Diego Border,Land Ports,California,land_border
2502,"ANDRADE, CA","Andrade, California",25,"SAN DIEGO, CA",CA,San Diego Border,Land Ports,California,land_border
2503,"CALEXICO, CA","Calexico, California",25,"SAN DIEGO, CA",CA,San Diego Border,Land Ports,California,land_border
2504,SAN YSIDRO,"San Ysidro, California",25,"SAN DIEGO, CA",CA,San Diego Border,Land Ports,California,land_border
2505,"TECATE, CA","Tecate, California",25,"SAN DIEGO, CA",CA,San Diego Border,Land Ports,California,land_border
2506,OTAY MESA,"Otay Mesa, California",25,"SAN DIEGO, CA",CA,Otay Mesa,Land Ports,California,land_border
2507,CALEXICO-EAST,"Calexico-East, California",25,"SAN DIEGO, CA",CA,Calexico,Land Ports,California,land_border
2601,"DOUGLAS, AZ","Douglas, Arizona",26,"NOGALES, AZ",AZ,Arizona Border,Land Ports,Land Ports,land_border
2602,"LUKEVILLE, AZ","Lukeville, Arizona",26,"NOGALES, AZ",AZ,Arizona Border,Land Ports,Land Ports,land_border
2603,"NACO, AZ","Naco, Arizona",26,"NOGALES, AZ",AZ,Arizona Border,Land Ports,Land Ports,land_border
2604,"NOGALES, AZ","Nogales, Arizona",26,"NOGALES, AZ",AZ,Nogales,Land Ports,Land Ports,land_border
2605,"PHOENIX, AZ","Phoenix, Arizona",26,"NOGALES, AZ",AZ,"Phoenix, Arizona",Inland,Land Ports,inland
2606,"SASABE, AZ","Sasabe, Arizona",26,"NOGALES, AZ",AZ,Arizona Border,Land Ports,Land Ports,land_border
2608,"SAN LUIS, AZ","San Luis, Arizona",26,"NOGALES, AZ",AZ,Arizona Border,Land Ports,Land Ports,land_border
