registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110071068503,KINSLEY CONSTRUCTION BENEFICIAL USE SW,500 HOKES MILL RD,YORK,PA,17405,YORK COUNTY,3.0,39.941389,-76.76,423320
110070685380,KINSLEY CONSTRUCTION SANDBANK QUARRY,532 SAND BANK RD,YORK,PA,17402,YORK COUNTY,3.0,39.990833,-76.720833,423320
110042353459,MATERIAL SAND AND STONE,618 GREENVILLE ROAD,NORTH SMITHFIELD,RI,02896,PROVIDENCE,1.0,41.949732,-71.558882,423320
110070067253,ST. MARYS CEMENT PROVIDENCE CEMENT RECEIVING & DISTRIBUTION TERMINAL,39 NEW YORK AVENUE,PROVIDENCE,RI,02905,PROVIDENCE COUNTY,1.0,41.792794,-71.388732,423320
110058371088,HOLCIM US,139 TERMINAL RD,PROVIDENCE,RI,02905,PROVIDENCE,1.0,41.796302,-71.391233,423320
110020143753,MARTIN MARIETTA MATERIALS INC/HARBISON QUARRY,END OF LOST CREEK DRIVE,COLUMBIA,SC,29212,RICHLAND,4.0,34.115932,-81.12657,423320
110024822147,BLUEGRASS MATERIALS COMPANY LLC/CALHOUN MINE,166 SAND HILL LANE,GASTON,SC,29053,CALHOUN,4.0,33.870649,-81.109958,423320
110001670040,HOLNAM GEORGETOWN,31 PIER ROAD,GEORGETOWN,SC,29442,GEORGETOWN,4.0,33.35982,-79.28794,423320
110020149034,BLUEGRASS MATERIALS CO LLC/OLD CHARLESTON MINE,2916 OLD CHARLESTON RD,GILBERT,SC,29054,LEXINGTON,4.0,33.8914,-81.35357,423320
110007027092,PARTHENON MARBLE PRODUCTS INC,P. DAVIS PK-106 INTERSTATE BLV,GREENVILLE,SC,29615,GREENVILLE,4.0,34.862075,-82.310403,423320
110001670273,NATIONAL CEMENT COMPANY,1020 OLD STAGE RD,GREENVILLE,SC,29601,GREENVILLE,4.0,34.75555,-82.27286,423320
110001673804,TOP OF THE LINE,559 BEAUDROT RD,GREENWOOD,SC,29649,GREENWOOD,4.0,34.204815,-82.198765,423320
110002329276,INMAN STONE CO INC,1121 HWY 292,INMAN,SC,29349,SPARTANBURG,4.0,35.068952,-82.077428,423320
110007828850,MARTIN MARIETTA MATERIALS INC/GEORGETOWN II QUARRY,SC HWY 45,JAMESTOWN,SC,29453,BERKELEY,4.0,33.24128,-79.638021,423320
110009796051,BLUEGRASS MATERIALS COMPANY LLC/EDMUND MINE,115 BARRIER LN,LEXINGTON,SC,29073,LEXINGTON,4.0,33.913466,-81.184454,423320
110001665608,CHEM-MARINE TERMINAL,1000 EAST MONTAGUE AVENUE,NORTH CHARLESTON,SC,29405,CHARLESTON,4.0,32.88137,-79.97332,423320
110069566847,METROMONT:SPARTANBURG I-85,475 SIMUEL RD,SPARTANBURG,SC,29303,SPARTANBURG COUNTY,4.0,34.97779,-81.98038,423320
110008550139,HOLNAM INCORPORATED SPARTANBURG PORTLAND CEMENT DISTRIBUT,920 MONKS GROVE CHURCH ROAD,SPARTANBURG,SC,29303,SPARTANBURG,4.0,34.99366,-82.01844,423320
110044306408,BORAL BRICKS INC SUMMERVILLE BRICK MANF PLT,121 MELLICHAMP RD,SUMMERVILLE,SC,99999,DORCHESTER,4.0,33.04061,-80.21321,423320
110009811917,MARTIN MARIETTA MATERIALS INC/RION QUARRY,END OF STATE RD 105,WINNSBORO,SC,29132,FAIRFIELD,4.0,34.299409,-81.126823,423320
110071821479,WINNSBORO CRUSHED STONE LLC/WINNSBORO QUARRY MINE,ROCKTON THRUWAY RD,WINNSBORO,SC,29180,FAIRFIELD,4.0,34.337778,-81.049444,423320
110038047618,FORMATOP COMPANY INC.,101 N. FRANKLIN AVE.,SIOUX FALLS,SD,57117,MINNEHAHA,8.0,43.54767,-96.71704,423320
110001676277,GCC DACOTAH,5100 W 9TH,SIOUX FALLS,SD,57107,MINNEHAHA,8.0,43.54803,-96.78843,423320
110038106714,GCC DACOTAH,SD HIGHWAY 14,VOLGA,SD,57071,BROOKINGS,8.0,,,423320
110000493127,CUMBERLAND,815 CUMBERLAND CITY RD,CUMBERLAND CITY,TN,37050,STEWART,4.0,36.3903,-87.6539,423320
110057813013,"HOLCIM, INC.",2169 CHANNEL AVE,MEMPHIS,TN,38113,SHELBY,4.0,35.087864,-90.113559,423320
110001857642,CONTINENTAL CEMENT COMPANY,48 HENRY STREET,MEMPHIS,TN,38107,SHELBY,4.0,35.16619,-90.04563,423320
