facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0020,EPA_FRS,110024822209,LA OFFICE OF STATE PARKS,ST. BERNARD STATE PARK,ST. BERNARD,ST. BERNARD,29.86452,-89.89917,2929.5,0.238,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110011157960,QUALITY SHRIMP PACKERS INC.- LAFITTE FROZEN FOODS:VIOLET FACILITY,2521 PACKENHAM RD,VIOLET,ST. BERNARD,29.900926,-89.895745,1208.9,0.256,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110011157764,RIVERBEND OXIDATION POND - POYDRAS-VERRET WETLAND,7501 E JUDGE PEREZ DR,CHALMETTE,ST. BERNARD,29.881224,-89.878496,2370.0,0.209,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110064614083,ST BERNARD PARISH SD#2 (HIGHLA,3400 STACIE DRIVE,VIOLET,ST. BERNARD,29.915202,-89.89165,2837.9,0.292,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110040084379,ST. BERNARD VIOLET STP,3400 STACIE DR,VIOLET,ST. BERNARD,29.915202,-89.89165,2837.9,0.359,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110008992493,"VAL J. DAUTERIVE & SON, INC.",6201G E. ST. BERNARD HWY.,VIOLET,ST. BERNARD,29.898361,-89.900583,836.2,0.256,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110070863663,VIOLET DOCK PORT,650 E ST BERNARD HIGHWAY,VIOLET,ST. BERNARD PARISH,29.89478,-89.902281,472.7,0.706,MEDIUM,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110055631106,BEVERLY INDUSTRIES LLC,3040 E. ST. BERNARD HWY,MERAUX,ST. BERNARD,29.93016,-89.934819,989.7,0.235,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110013404280,"D & D PRESSURE CLEAN, LLC",2701 EARL DR.,MERAUX,ST. BERNARD,29.93505,-89.91928,1793.9,0.056,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110070029888,"DIRTY RED, LLC",5000 EAST ST. BERNARD HWY,VIOLET,ST. BERNARD,29.915472,-89.91165,1953.6,0.24,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110041572544,FISHER'S FIELD,UNKNOWN,CHALMETTE,ST. BERNARD,29.9324,-89.9328,1165.9,0.267,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110070112412,GIBBS CONSTRUCTION LLC - TRIST CLASSROOM,1 PIRATES COVE,MERAUX,ST. BERNARD,29.9284,-89.92573,831.4,0.163,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110055165235,LACOSTE ELEMENTARY SCHOOL (FORMERLY ST. MARKS SCHOOL),1625 MISSOURI ST.,CHALMETTE,ST. BERNARD,29.942725,-89.945795,2728.8,0.235,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110011164685,MERAUX FOOD STORE PIT LANE,3225 E JUDGE PEREZ DR,MERAUX,ST. BERNARD,29.937642,-89.929284,1729.4,0.429,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110000448837,MERAUX REFINERY,2500 EAST ST. BERNARD HIGHWAY,MERAUX,ST. BERNARD PARISH,29.943576,-89.937859,2491.3,0.516,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110000548701,MUNSTER WASTEWATER TREATMENT PLANT,3300 MUNSTER BOULEVARD,MERAUX,ST. BERNARD,29.94462,-89.92889,2506.1,0.28,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110032939854,MURPHY OIL USA INC.,BUY OUT ZONES,CHALMETTE,ST. BERNARD,29.941944,-89.941667,2456.6,0.067,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110063981419,"MURPHY OIL USA INC., MERAUX REFINERY",1615 EAST JUDGE PEREZ DRIVE,CHALMETTE,ST. BERNARD,29.93771,-89.94796,2421.6,0.435,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110064426045,SKILKENGOLD LLC,2500 ARCHBISHOP HANNA BLVD,MERAUX,ST. BERNARD,29.934115,-89.923488,1491.4,0.222,LOW,spatial+fuzzy_name
MRTIS_0021,EPA_FRS,110064615037,ST BERNARD PARISH SD#2 (MUNSTE,1111 E ST BERNARD HWY,MERAUX,ST. BERNARD,29.946111,-89.927778,2679.7,0.348,LOW,spatial+fuzzy_name
