IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
9853888,Cssc Cape Town,2,2,26.02,13.87,74.01,63.8,Convent Marine Terminal,,
9853890,Cssc Amsterdam,3,3,47.94,11.76,58.23,51.0,Convent Marine Terminal,,
9853905,Cssc Rotterdam,4,3,93.55,7.26,138.83,69.9,UBT Davant,,
9853929,Cssc Immingham,3,3,63.77,71.47,81.42,37.9,UBT Davant,,
9853931,Cssc Le Havre,1,1,70.12,5.97,80.92,51.5,UBT Davant,,
9854301,Golden Friend,4,3,269.63,8.41,61.84,32.0,Cenex Harvest States,,
9854313,Golden Fellow,1,1,329.85,5.98,55.57,14.2,Cenex Harvest States,,
9854337,Jia Yue,1,1,35.45,25.03,39.45,39.5,ADM Destrehan,,
9854363,Minerva Psara,7,7,52.51,,,,,,
9854583,Meiyu,11,9,46.17,54.00,66.34,52.9,Nashville Ave,,
9854612,Energy Pacific,1,1,36.08,,,,,,
9854624,Energy Endeavour,3,3,43.12,,,,,,
9854727,Sti Maestro,2,2,31.16,10.31,42.43,50.2,Marathon Garyville,,
9854739,Sti Mighty,3,3,61.66,16.09,47.36,41.0,Marathon Garyville,,
9854741,Sti Maximus,9,6,56.86,32.97,55.85,47.7,Marathon Garyville,,
9854789,Torm Sublime,6,6,39.65,43.54,53.84,48.8,Marathon Garyville,,
9854791,Torm Splendid,3,2,50.87,7.15,82.70,80.3,Cargill Molasses,,
9854806,Torm Stellar,5,5,43.07,22.65,51.37,56.0,Shell Norco,,
9855290,Danae,1,1,72.43,12.53,35.38,29.4,Zen-Noh,,
9855355,Fedra Gr,1,1,18.48,6.52,31.37,55.6,AST Meraux Buoys,,
9855367,Baleen,1,1,35.95,11.02,61.13,56.6,Valero St Charles,,
9855410,Western Moscow,3,3,113.27,79.81,181.08,68.6,AST Meraux Buoys,,
9855422,Canadian Bulker,7,7,135.08,150.68,57.64,19.2,AST Gramercy  Buoys,,
9855434,Chilean Bulker,5,5,131.36,51.85,27.59,14.5,ADM AMA,,
9855458,Paula Trader,4,4,59.20,114.62,118.25,50.5,AST Meraux Buoys,,
9855460,Hamburg Team,2,2,178.39,10.75,79.47,31.0,Copper Darrow Buoys,,
9855501,Aquavita Sun,5,4,137.72,11.31,73.68,35.4,Zen-Noh,,
9855513,Aquavita Sky,2,2,167.78,25.38,61.43,18.0,Dreyfuss,,
9855525,Vincent Trader,3,3,336.00,7.93,79.04,18.6,ADM AMA,,
9855549,Livorno,2,1,191.52,,,,Zen-Noh,,
9855563,Aquavita Sol,4,4,83.22,15.50,73.57,42.8,Cargill Reserve,,
9855604,Vincent Talisman,1,1,1272.85,,,,,,
9855642,Psarros D,2,2,163.83,96.60,65.61,20.9,Zen-Noh,,
9855654,Betty K,4,3,170.72,10.33,39.37,19.7,Cenex Harvest States,,
9855848,Pan Orion,3,1,171.70,9.97,51.95,22.2,Zen-Noh,,
9855850,Springfield,3,2,66.67,10.05,57.15,50.1,Bunge Destrehan,,
9855862,Aston,6,6,62.86,8.54,41.84,52.0,Nashville Ave,,
9855927,Maplegate,1,1,218.80,12.53,46.75,16.8,Zen-Noh,,
9856062,Stavanger Pride,7,6,70.57,12.03,44.93,49.9,MPLX Garyville,,
9856139,Blc First,4,4,129.03,14.47,66.08,36.1,ADM AMA,,
9856141,Blc Second,2,0,,,,,Cargill Westwego,,
9856232,Nord Yucatan,2,2,142.47,11.02,125.04,51.2,Waggaman Buoys,,
9856244,Western Oslo,4,4,54.79,18.37,27.33,34.6,Convent Marine Terminal,,
9856256,Ultra Courage,4,3,160.18,33.55,138.35,67.6,Drax Biomass,,
9856268,Western Fuji,7,5,176.94,96.14,103.04,30.8,AST St James Buoys,,
9856270,Western Singapore,1,1,57.47,,,,,,
9856282,Enduro Trader,3,3,98.03,8.86,73.63,41.0,ADM AMA,,
9856294,Tokyo Pioneer,6,5,79.92,130.00,55.45,30.7,Zen-Noh,,
9856309,Berge Catherine,4,4,34.12,34.92,128.02,71.8,IMT Coal,,
9856311,Golden Trader,4,4,67.00,43.25,166.55,62.5,ARTCO 110-111 Buoys,,
9856323,Eva Bristol,7,7,139.85,37.54,89.63,41.1,ADM Reserve,,
9856555,Ionic Ariadne,3,3,90.58,14.64,52.82,40.0,Genesis Baton Rouge,,
