HS4,HS2,Description
2934,29,AROMATIC OR MODIFIED AROMATIC PRODUCTS DESCRIBED IN U.S. NOTE 3 TO SECTION 6 CONTAINING AN UNFUSED THIAZOLE RING(WHETHER OR NOT HYDROGENAT)
2935,29,N-METHYL PERFLUOROOCTANE SULFONAMIDE
2936,29,VITAMINS A AND THEIR DERIVATIVES UNMIXED
2937,29,SOMATOTROPIN
2938,29,RUTOSIDE (RUTIN) AND ITS DERIVATIVES)
2939,29,CONCENTRATES OF POPPY STRAW; BUPRENORPHINE (INN) CODEINE
2940,29,D-ARABINOSE
2941,29,AMPICILLIN AND ITS SALTS
2942,29,[2
3001,30,EXTRACTS OF GLANDS OR OTHER ORGANS OR OF THEIR SECRETIONS
3002,30,HUMAN BLOOD PLASMA
3003,30,MEDICAMENTS (EXCLUD GOODS OF 3002
3004,30,MEDICAMENTS CONTAINING PENICILLIN G SALTS FOR VETRINARY USE
3005,30,ADHESIVE DRESSINGS COATED OR IMPREGNATED WITH PHARMACEUTICAL SUBSTANCES
3006,30,STERILE SURGICAL CATGUT
3101,31,ANIMAL/VEG FERTILIZERS
3102,31,SOLID UREA
3103,31,SUPERPHOSPHATES CONTAINING BY WEIGHT 35% OR MORE OF PHOSPHORUS PENTOXIDE P205
3104,31,POTASSIUM CHLORIDE CONTAINING NOT MORE THAN 62% BY WEIGHT OF POTASSIUM OXIDE
3105,31,PRODUCTS OF CHAPTER 31 IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG
3201,32,QUEBRACHO EXTRACT
3202,32,SYNTHETIC ORGANIC TANNING SUBSTANCES
3203,32,ANNATO
3204,32,DISPERSE DYES AND PREPARATIONS BASED THERON
3205,32,CARMINE FOOD COLORING SOLUTIONS
3206,32,PIGMENTS AND PREPARATIONS BASED ON TITANIUM DIOXIDE: CONTAINING 80 PERCENT OR MORE BY WEIGHT OF TITANIUM DIOXIDE CALCULATED ON THE DRY MATTER
3207,32,PREPARED PIGMENTS
3208,32,PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS
3209,32,PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS
3210,32,OTHER PAINTS AND VARNISHES (INCL ENAMELS
3211,32,PREPARED DRIERS
3212,32,STAMPING FOILS
3213,32,ARTISTS' STUDENTS' OR SIGNBOARD PAINTERS COLORS
3214,32,CAULKING COMPOUNDS
3215,32,PRINTING INK
3301,33,ESSENTIAL CITRUS FRUIT OILS OF ORANGE
3302,33,MIXTURES OF ODORIFEROUS SUBSTANCES USED IN THE FOOD OR DRINK INDUSTRIES NOT CONTAINING ALCOHOL
3303,33,FLORAL OR FLOWER WATERS NOT CONTAINING ALCOHOL
3304,33,LIP MAKE-UP PREPARATIONS
3305,33,SHAMPOOS
3306,33,DENTIFRICES
3307,33,PRE-SHAVE
3401,34,CASTILE SOAP
3402,34,LINEAR ALKYLBENZENE SULFONIC ACIDS AND THEIR SALTS; AROMATIC OR MODIFIED AROMATIC
3403,34,PREPARATIONS FOR THE TREATMENT OF TEXTILE MATERIALS
3404,34,ARTIFICIAL WAXES AND PREPARED WAXES
3405,34,POLISHES
3406,34,CANDLES
3407,34,MODELING PASTES
3501,35,MILK PROTEIN CONCENTRATE
3502,35,EGG ALBUMIN
3503,35,FISH GLUE
3504,35,PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES AND HIDE POWDER
3505,35,DEXTRINS
3506,35,ANIMAL GLUE
3507,35,RENNET AND CONCENTRATES THEREOF
3601,36,PROPELLANT POWDERS
3602,36,DYNAMITE
3603,36,SAFETY FUSES
3604,36,CLASS 1.3G FIREWORKS
3605,36,MATCHES WITH NATURAL WOOD STEMS
3606,36,LIQUID OR LIQUEFIED-GAS FUELS IN CONTAINERS OF A KIND USED FOR FILLING OR REFILLING CIGARETTE/SIMILAR LIGHTERS AND OF A CAPACITY NOT EXCEEDING 300 CM3
3701,37,XRAY FILM FOR MEDICAL
3702,37,X-RAY FILM IN ROLLS FOR MEDICAL
3703,37,SILVER HALIDE PAPERS FOR PICTORIAL USE
3704,37,PHOTOGRAPHIC PLATES
3705,37,PHOTOGRAPHIC  PLATES AND FILM
3706,37,SOUND RECORDING ON MOTION-PICTURE FILM SUITABLE FOR USE IN CONNECTION WITH MOTION-PICTURE EXHIBITS OF A WIDTH OF 35 MM OR MORE
3707,37,SENSITIZING EMULSIONS
3801,38,ARTIFICIAL GRAPHITE PLATES
3802,38,ACTIVATED CARBON DERIVED FROM COAL
3803,38,TALL OIL
3804,38,LIGNIN SULFONIC ACID AND ITS SALTS
3805,38,GUM
3806,38,GUM ROSIN
3807,38,WOOD TAR
3808,38,DDT (ISO) (CLOFENATONE (INN))
3809,38,FINISHING AGENTS AND DYE CARRIERS WITH A BASIS OF AMYLACEOUS SUBSTANCES
3810,38,PICKLING PREPARATION FOR METAL SURFACES
