registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110060280583,SUNROC CORP - FORT PIERCE FACILITY,1825 E 3860 S,SAINT GEORGE,UT,84790,WASHINGTON,8.0,37.043001,-113.532888,327320,Ready-Mix Concrete
110022811885,STAKER & PARSON COMPANIES ST. GEORGE READY-MIX & ASPHALT,1843 E 4150 S,SAINT GEORGE,UT,84770,WASHINGTON,8.0,37.037627,-113.544195,327320,Ready-Mix Concrete
110020086592,SAINT GEORGE YARD,820 N 1080 E,SAINT GEORGE,UT,84770,WASHINGTON,8.0,37.12339,-113.56059,327320,Ready-Mix Concrete
110020516100,STAKER & PARSON CALIFORNIA READY-MIX CONCRETE,3313 W DIRECTORS ROW,SALT LAKE CITY,UT,84116,SALT LAKE,8.0,40.745774,-111.970208,327320,Ready-Mix Concrete
110046338959,KILGORE COMPANIES OFFICE AND SHOP,7057 WEST 2100 SOUTH,SALT LAKE CITY,UT,84128,SALT LAKE,8.0,40.725645,-112.057961,327320,Ready-Mix Concrete
110041904794,CALIFORNIA READY MIX FACILITY,3313 WEST DIRECTORS ROW,SALT LAKE CITY,UT,84104,SALT LAKE,8.0,40.745774,-111.970208,327320,Ready-Mix Concrete
110020076460,GENEVA ROCK PRODUCTS INC,748 W 300 S,SALT LAKE CITY,UT,84101,SALT LAKE COUNTY,8.0,40.76277,-111.91267,327320,Ready-Mix Concrete
110064776602,AA U-CART CONCRETE,154 EAST GORDON LANE UNIT A,SALT LAKE CITY,UT,84107,SALT LAKE,8.0,40.67993,-111.88635,327320,Ready-Mix Concrete
110030922928,CALIFORNIA CONCRETE PLANT,3313 WEST DIRECTORS ROW,SALT LAKE CITY,UT,84115,SALT LAKE,8.0,40.733279,-111.967439,327320,Ready-Mix Concrete
110070158162,KILGORE COMPANIES LLC,7050 WEST 2100 SOUTH,SALT LAKE CITY,UT,84128,SALT LAKE,,40.725746,-112.043494,327320,Ready-Mix Concrete
110014433853,A J DEAN AND SONS READY MIX CONCRETE COMPANY INCORPORATED,6695 WASATCH BOULEVARD,SALT LAKE CITY,UT,84121,SALT LAKE,8.0,40.62898,-111.79988,327320,Ready-Mix Concrete
110071888251,HARPER CONTRACTING- 2300 NORTH CONCRETE PLANT,1110 WEST  2300 NORTH,SALT LAKE CITY,UT,84116,SALT LAKE,8.0,40.81676,-111.92293,327320,Ready-Mix Concrete
110040493301,KIEWIT,UNKNOWN,SALT LAKE CITY,UT,84088,SALT LAKE,8.0,,,327320,Ready-Mix Concrete
110037945365,NORTH SALT LAKE CONCRETE BATCH PLANT,1110 WEST 2300 NORTH,SALT LAKE CITY,UT,84118,SALT LAKE,8.0,40.81676,-111.92293,327320,Ready-Mix Concrete
110002274501,STAKER & PARSON COMPANIES- BECK STREET CONSOLIDATED,2080 NORTH BECK STREET,SALT LAKE CITY,UT,84027,SALT LAKE,8.0,40.81162,-111.91876,327320,Ready-Mix Concrete
110039184726,BECK STREET FACILITY,1730 NORTH BECK STREET,SALT LAKE CITY,UT,84116,SALT LAKE,8.0,40.80437,-111.91602,327320,Ready-Mix Concrete
110046339048,NORTH SALT LAKE BATCH PLANT,1110 WEST 2300 NORTH,SALT LAKE CITY,UT,84116,SALT LAKE,8.0,40.81676,-111.92293,327320,Ready-Mix Concrete
110005197090,GENEVA ROCK PRODUCTS,350 W. 3900 S.,SALT LAKE CITY,UT,84107,SALT LAKE,8.0,40.686656,-111.900584,327320,Ready-Mix Concrete
