facility_id,facility_name,address1,city,state,state_name,zip,county,latitude,longitude,year,parent_company,primary_naics
1006363,"GCC Permian, LLC",16501 WEST MURPHY STREET,ODESSA,TX,TEXAS,79766,ECTOR COUNTY,31.703691,-102.392214,2023,GCC OF AMERICA INC (100%),327310
1004270,CAPITOL CEMENT PLANT,11551 NACOGDOCHES RD.,SAN ANTONIO,TX,TEXAS,78217,BEXAR COUNTY,29.545278,-98.421111,2023,ZACHRY CONSTRUCTION & MATERIALS INC (100%),327310
1002049,LEHIGH CEMENT CO LLC / WACO PLANT,100 S WICKSON RD,WOODWAY,TX,TEXAS,76712,MCLENNAN COUNTY,31.481987,-97.240773,2023,LEHIGH WHITE CEMENT CO LLC (100%),327310
1004131,HOLCIM (US) INC. DEVIL\S SLIDE PLANT,6055 EAST CROYDON ROAD,MORGAN,UT,UTAH,84050,MORGAN COUNTY,41.0633,-111.5317,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1002530,Ash Grove Cement Company-LEAMINGTON,19090 West Highway 132,Nephi,UT,UTAH,84648,,39.508327,-112.262246,2023,CRH AMERICAS INC (100%),327310
1000633,ROANOKE CEMENT CO - CLOVERDALE,6071 CATAWBA ROAD,TROUTVILLE,VA,VIRGINIA,24175,BOTETOURT COUNTY,37.4604,-79.9948,2023,TITAN AMERICA LLC (100%),327310
1002537,ASH GROVE CEMENT COMPANY-SEATTLE,3801 EAST MARGINAL WAY SOUTH,SEATTLE,WA,WASHINGTON,98134,KING COUNTY,47.56799,-122.34255,2023,ASH GROVE CEMENT CO (100%),327310
1005946,LAFARGE NORTH AMERICA INC SEATTLE,5400 WEST MARGINAL WAY SOUTHWEST,SEATTLE,WA,WASHINGTON,98106,KING COUNTY,47.55358,-122.34442,2012,LAFARGE NORTH AMERICA INC (100%),327310
1007566,ARGOS USA -Martinsburg,1826 SOUTH QUEEN STREET,MARTINSBURG,WV,WEST VIRGINIA,25401,BERKELEY COUNTY,39.434879,-77.977911,2023,ARGOS USA LLC (100%),327310
1005978,MOUNTAIN CEMENT CO,5 SAND CREEK ROAD,LARAMIE,WY,WYOMING,82070,ALBANY COUNTY,41.26109,-105.60319,2023,EAGLE MATERIALS INC (100%),327310
