direction,port_consolidated,group,commodity,cargo,cargo_detail,country,ves_mt,ves_value_usd,records
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,Soybeans,TURKEY,33623.4,17388003,3
Import,Lower Miss River,Liquid Bulk,Chemicals,Benzene,Benzene,CANADA,33572.0,24578111,1
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Tio2,Tio2,AUSTRALIA,33060.4,38257616,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,AUSTRALIA,33000.0,9759750,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,SAUDI ARABIA,32900.7,42279368,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Benzene,Benzene,INDIA,32717.3,27783572,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,SPAIN,32309.2,20583824,13
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,ISRAEL,32054.6,55221459,3
Import,"LAKE CHARLES, LA",Dry Bulk,Minerals & Ores,Barite,Barite,MOROCCO,31500.0,3591000,1
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,AUSTRALIA,31500.0,16219665,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,GABON,30751.3,16031918,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,HUNGARY,30628.0,49486557,3
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,SBM,RUSSIA,30344.8,18464085,2
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,NEW ZEALAND,30340.1,33692914,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,SOUTH AFRICA,30291.0,19295367,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,LIBYA,30220.0,17021598,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,MEXICO,30192.4,29963229,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,NIGERIA,29695.0,16761943,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Benzene,Benzene,JAPAN,29554.4,27686895,1
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Long Products,"KOREA, SOUTH",28930.3,22088160,7
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,GUATEMALA,28760.9,14492169,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,TURKMENISTAN,28353.0,11528017,1
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,Barley & Rye,GERMANY,28199.8,7586650,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,CANADA,28040.2,13673908,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,SOUTH AFRICA,28000.0,14032686,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,TRINIDAD AND TOBAGO,27500.6,10924208,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,FRANCE,27480.0,15448077,2
Import,Lower Miss River,Liquid Bulk,Agricultural,Molasses,Molasses,EGYPT,27310.0,5030000,1
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,CHILE,27041.3,29766457,1
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,Soybeans,ARGENTINA,27000.0,17096832,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Methanol,Methanol,VENEZUELA,26135.7,5229370,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Olefins,Olefins,SOUTH AFRICA,25866.9,29946373,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,SWITZERLAND,25778.7,142023867,11
Import,Lower Miss River,Dry Bulk,Construction Materials,Slag & Ash,Slag & Ash,SOUTH AFRICA,25298.1,22280445,2
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,VIETNAM,25105.5,15704833,10
Import,Lower Miss River,Liquid Bulk,Chemicals,Methanol,Methanol,TRINIDAD AND TOBAGO,25017.2,10214335,2
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Ores,Ores,SOUTH AFRICA,24524.0,7731644,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Bitumen,VENEZUELA,24496.1,10385359,1
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,BRAZIL,23785.1,15846749,9
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Manganese,Manganese,CHINA,23534.0,44514773,2
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,"KOREA, SOUTH",23354.2,26078829,1
Import,Lower Miss River,Dry Bulk,Metals,Aluminum,Aluminum,UNITED ARAB EMIRATES,23205.4,66445247,2
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Tubular Goods,INDIA,23156.4,30714328,3
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,"KOREA, SOUTH",23110.7,46117347,22
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,SOUTH AFRICA,23055.8,34719875,1
Import,Lower Miss River,Dry Bulk,Metals,Zinc,Zinc,PERU,23000.7,67656965,3
