direction,port_code,port_name,commodity,hs6_description,cty_code,country_name,total_value_ytd,ves_value_ytd,ves_mt_ytd
Export,2001,"New Orleans, LA",392620,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",6810,MARSHALL ISLANDS,9467,9467,0.638
Export,2001,"New Orleans, LA",392690,"BUCKETS & PAILS,OF PLASTIC",2010,MEXICO,2559,2559,0.008
Export,2001,"New Orleans, LA",392690,"BUCKETS & PAILS,OF PLASTIC",2250,PANAMA,5996,5996,0.05
Export,2001,"New Orleans, LA",392690,"BUCKETS & PAILS,OF PLASTIC",3510,BRAZIL,2584,2584,0.002
Export,2001,"New Orleans, LA",392690,"BUCKETS & PAILS,OF PLASTIC",6810,MARSHALL ISLANDS,5272,5272,0.958
Export,2001,"New Orleans, LA",400690,"OTHER FORMS (FOR EXAMPLE, RODS, TUBES AND PROFILE SHAPES) & ARTICLES (FOR EXAMPLE, DISCS AND RINGS), OF UNVULCANIZED RUBBER, NESOI",6810,MARSHALL ISLANDS,3664,3664,0.585
Export,2001,"New Orleans, LA",400829,"RODS AND PROFILE SHAPES, OF VULCANIZED RUBBER, EXC HARD RUBBER, OF NONCELLULAR RUBBER, NESOI",2010,MEXICO,14687,14687,0.329
Export,2001,"New Orleans, LA",400912,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21, 8701.22, 8701.23, 8701.24, 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, NOT REINFORCED OR COMBINED",2010,MEXICO,61889,61889,0.265
Export,2001,"New Orleans, LA",400912,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21, 8701.22, 8701.23, 8701.24, 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, NOT REINFORCED OR COMBINED",4210,NETHERLANDS,129764,129764,1.77
Export,2001,"New Orleans, LA",400912,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21, 8701.22, 8701.23, 8701.24, 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, NOT REINFORCED OR COMBINED",6810,MARSHALL ISLANDS,82162,82162,0.443
Export,2001,"New Orleans, LA",400912,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21, 8701.22, 8701.23, 8701.24, 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, NOT REINFORCED OR COMBINED",7650,LIBERIA,7271,7271,0.727
Export,2001,"New Orleans, LA",400921,"TUBES, PIPES AND HOSES, OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED/OTHERWISE COMBINED ONLY WITH METAL, WITHOUT FITTINGS",6810,MARSHALL ISLANDS,12346,12346,0.403
Export,2001,"New Orleans, LA",400921,"TUBES, PIPES AND HOSES, OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED/OTHERWISE COMBINED ONLY WITH METAL, WITHOUT FITTINGS",7650,LIBERIA,20523,20523,1.315
Export,2001,"New Orleans, LA",400922,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21 TO 8701.29 OR  OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED WITH METAL",2010,MEXICO,243364,243364,10.158
Export,2001,"New Orleans, LA",400931,"TUBES, PIPES AND HOSES, OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED OR OTHERWISE COMBINED ONLY WITH TEXTILE MATERIALS, WITHOUT FITTINGS",2010,MEXICO,5760,5760,0.177
Export,2001,"New Orleans, LA",400932,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21 TO 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED WITH TEXTILES",2010,MEXICO,172942,172942,5.688
Export,2001,"New Orleans, LA",400932,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21 TO 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED WITH TEXTILES",2740,TRINIDAD AND TOBAGO,24967,24967,0.047
Export,2001,"New Orleans, LA",400932,"BRAKE HOSES WITH FITTINGS FOR VEHICLES OF 8701.21 TO 8701.29 OR OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED WITH TEXTILES",6810,MARSHALL ISLANDS,2688,2688,0.03
Export,2001,"New Orleans, LA",400941,"TUBES, PIPES AND HOSES OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS, WITHOUT FITTINGS, NESOI",2010,MEXICO,53500,53500,4.206
Export,2001,"New Orleans, LA",400941,"TUBES, PIPES AND HOSES OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS, WITHOUT FITTINGS, NESOI",2250,PANAMA,752270,752270,29.569
Export,2001,"New Orleans, LA",400941,"TUBES, PIPES AND HOSES OF VULCANIZED RUBBER, EXC HARD RUBBER, REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS, WITHOUT FITTINGS, NESOI",2360,BAHAMAS,22500,22500,0.9
Export,2001,"New Orleans, LA",400942,"BRAKE HOSES WITH FITTINGS FOR  VEHICLES OF 8701.21 TO 8701.29 OR  OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED, NESOI",2010,MEXICO,69433,69433,3.415
Export,2001,"New Orleans, LA",400942,"BRAKE HOSES WITH FITTINGS FOR  VEHICLES OF 8701.21 TO 8701.29 OR  OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED, NESOI",2740,TRINIDAD AND TOBAGO,30431,30431,0.047
Export,2001,"New Orleans, LA",400942,"BRAKE HOSES WITH FITTINGS FOR  VEHICLES OF 8701.21 TO 8701.29 OR  OF 8702, 8703, 8704, 8705 OR 8711, REINFORCED OR COMBINED, NESOI",6810,MARSHALL ISLANDS,235654,235654,19.777
Export,2001,"New Orleans, LA",401180,"NEW PNEUMATIC TIRES, RUBBER, KIND USED ON CONSTRUCTION, MINING/INDUSTRIAL HANDLING VEHICLES AND MACHINES, HAVING HERRING-BONE/SIM TREAD RIM LT=61CM",6810,MARSHALL ISLANDS,9467,9467,0.638
